MEDIA 4001 | meaning: a fast military plane that fights enemy aircraft
E 39197 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
ua|Якщо вони триматимуть мотоцикли вертикально ще довше, це ... повною катастрофою!|закінчиться|закінчилося б|закінчилося
es|¡Si ellos mantienen las motos levantadas más tiempo, esto ... en un desastre total!|acabará|acabaría|acabó
fr|S'ils gardent les motos cabrées plus longtemps, ça ... en catastrophe totale !|finira|finirait|a fini
tr|Onlar motosikletleri daha uzun süre dik tutarsa, bu tam bir felaketle ...!|bitecek|biterdi|bitti
hu|Ha ők még tovább tartják függőlegesen a motorokat, az totális katasztrófával ...!|végződik|végződne|végződött
E 44438 | B2 type 67 All Future Tenses | style flirt | options 3 | SEL
en|Not gonna lie, by sunset you ... that bike upright for a whole kilometre.|will have ridden|will ride|ride
de|Ehrlich gesagt, bis zum Sonnenuntergang wirst du das Bike einen ganzen Kilometer aufrecht ...|gefahren haben|fahren|fährst
ua|Чесно, до заходу сонця ти ... на тому мотоциклі вертикально цілий кілометр.|проїдеш|проїдеш|їдеш
es|No te voy a mentir, para el atardecer tú ... esa moto levantada un kilómetro entero.|habrás llevado|llevarás|llevas
fr|Sans mentir, d'ici le coucher du soleil, tu ... cette moto cabrée sur un kilomètre entier.|auras conduit|conduiras|conduis
tr|Yalan yok, gün batımına kadar sen o motoru tam bir kilometre dik şekilde ...|sürmüş olacaksın|süreceksin|sürüyorsun
hu|Nem kamu, naplementéig te egy teljes kilométert ... azzal a motorral függőlegesen.|megteszel|fogsz menni|mész
MEDIA 4203 | meaning: to free someone from harm
E 42248 | B1 type 44 Relative clauses | style gossip | options 3 | SEL
en|Listen, the shark ... he rescued apparently came back the next day.|that|who|whose
de|Hör mal, der Hai, ... er gerettet hat, ist angeblich am nächsten Tag zurückgekommen.|den|wer|dessen
ua|Слухай, акула, ... він урятував, кажуть, повернулася наступного дня.|яку|хто|чия
es|Oye, el tiburón ... él rescató al parecer volvió al día siguiente.|que|quien|cuyo
fr|Écoute, le requin ... a été sauvé par lui est apparemment revenu le lendemain.|qui|que|dont
tr|Dinle, duyduğuma göre onun ... köpekbalığı ertesi gün geri gelmiş.|kurtardığı|kim|kimin
hu|Figyelj, a cápa, ... ő megmentett, állítólag másnap visszajött.|amelyet|aki|amelynek
E 42254 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|He ... the shark by the time the next wave came in.|had rescued|has rescued|rescues
de|Er ... den Hai schon gerettet, als die nächste Welle kam.|hatte|hat|rettet
ua|Він ... акулу ще до того, як прийшла наступна хвиля.|урятував|урятував|рятує
es|Él ya ... al tiburón cuando llegó la siguiente ola.|había rescatado|ha rescatado|rescata
fr|Il ... le requin quand la vague suivante est arrivée.|avait déjà sauvé|a déjà sauvé|sauve
tr|Bir sonraki dalga geldiğinde o, köpekbalığını çoktan ...|kurtarmıştı|kurtardı|kurtarıyor
hu|Mire megjött a következő hullám, ő már ... a cápát.|megmentette|megmentette|menti
MEDIA 4206 | meaning: a small emblem that shows your rank or membership
E 36991 | B1 type 31 Past Continuous | style clueless | options 3 | SEL
en|The hamster ... its badge when it fell asleep, because the badge was round its neck.|was wearing|wore|has worn
de|Der Hamster ... seinen Ausweis, als er einschlief, weil der Ausweis um seinen Hals hing.|trug|trug|hat getragen
ua|Хом'як ... свій бейдж, коли заснув, бо бейдж був у нього на шиї.|носив|носив|носив
es|El hámster ... su credencial cuando se quedó dormido, porque la credencial estaba alrededor de su cuello.|llevaba puesta|llevó puesta|ha llevado puesta
fr|Le hamster ... son badge quand il s'est endormi, parce que le badge était autour de son cou.|portait|a porté|a porté
tr|Hamster uyuyakaldığında kartını ..., çünkü kart boynundaydı.|takıyordu|taktı|takmıştır
hu|A hörcsög ... a belépőkártyáját, amikor elaludt, mert a kártya a nyakában volt.|viselte|viselte|viselte
E 36998 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The hamster, ... badge opens the office door, leaves at five o'clock.|whose|which|who
de|Der Hamster, ... Ausweis die Bürotür öffnet, geht um fünf Uhr.|dessen|der|wer
ua|Хом'як, ... бейдж відчиняє двері офісу, іде о п'ятій.|чий|який|хто
es|El hámster, ... credencial abre la puerta de la oficina, se va a las cinco.|cuya|que|quien
fr|Le hamster, ... le badge ouvre la porte du bureau, part à cinq heures.|dont|que|qui
tr|Hamster, ... kartı ofis kapısını açıyor, saat beşte çıkıyor.|ki|hangi|kim
hu|A hörcsög, ... belépőkártyája nyitja az iroda ajtaját, ötkor lelép.|akinek a|amely|aki
MEDIA 4207 | meaning: to bring something to a destination
E 38473 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|The hamster in glasses remembered ... the pizza before the film started.|to deliver|delivering|deliver
de|Der Hamster mit Brille dachte daran, die Pizza vor Filmbeginn zu ...|liefern|liefern|liefern
ua|Хом'як в окулярах не забув ... піцу до початку фільму.|доставити|доставляння|доставити
es|El hámster con gafas se acordó de ... la pizza antes de que empezara la peli.|traer|haber traído|traer
fr|Le hamster à lunettes a pensé à ... la pizza avant le début du film.|livrer|avoir livré|livrer
tr|Gözlüklü hamster filmden önce pizzayı ... unutmadı.|getirmeyi|getirdiğini|getir
hu|A szemüveges hörcsög nem felejtette el ... a pizzát a film kezdete előtt.|kihozni|hogy kihozta|kihoz
E 38474 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|The hamster in glasses ... pizza to this sofa every Friday.|delivers|is delivering|has delivered
de|Der Hamster mit Brille ... jeden Freitag Pizza zu diesem Sofa.|liefert|liefert gerade|hat geliefert
ua|Хом'як в окулярах ... піцу до цього дивана щоп'ятниці.|приносить|приносить|приніс
es|El hámster con gafas ... pizza a este sofá todos los viernes.|trae|está trayendo|ha traído
fr|Le hamster à lunettes ... une pizza jusqu'à ce canapé tous les vendredis.|livre|est en train de livrer|a livré
tr|Gözlüklü hamster her cuma bu kanepeye pizza ...|getirir|getiriyor|getirdi
hu|A szemüveges hörcsög minden pénteken pizzát ... erre a kanapéra.|hoz|éppen hoz|hozott
MEDIA 4209 | meaning: the natural state of rest at night
E 43092 | B1 type 49 So, Neither, Nor | style slang | options 3 | SEL
en|Bro, the hamster with the laptop ain't getting any sleep, and ...|neither am I.|so am I.|neither do I.
de|Bro, der Hamster mit dem Laptop kriegt null Schlaf, und ...|ich auch nicht|ich auch|ich auch nicht
ua|Бро, хом'як із ноутбуком зовсім не спить, і ...|я теж ні|я теж|я теж ні
  ~soft: SEL: pronoun inside an option
es|Bro, el hámster del portátil no está pegando ojo, y ...|yo tampoco|yo también|yo tampoco
  ~soft: SEL: pronoun inside an option
fr|Frérot, le hamster à l'ordinateur portable ne dort pas du tout, et ...|moi non plus|moi aussi|moi non plus
tr|Kanka, dizüstü bilgisayarlı hamster hiç uyumuyor, ve ...|ben de uyumuyorum|ben de uyuyorum|ben de uyumuyorum
hu|Tesó, a laptopos hörcsög egyáltalán nem alszik, és ...|én sem|én is|én sem
  ~soft: SEL: pronoun inside an option
E 43101 | B2 type 63 Advanced linkers | style ironic | options 3 | SEL
en|The mask hamster gets its sleep, ... the other one keeps typing. Obviously the smart one.|whereas|despite|in case
de|Der Masken-Hamster kriegt seinen Schlaf, ... der andere weitertippt. Offensichtlich der Schlaue.|während|trotz|falls
ua|Хом'як у масці висипається, ... другий далі друкує. Очевидно, розумник.|тоді як|попри|на випадок
es|El hámster de la mascarilla duerme, ... el otro sigue tecleando. Obviamente, el listo.|mientras que|a pesar de|por si
fr|Le hamster au masque dort bien, ... l'autre continue de taper. Évidemment le plus malin.|tandis que|malgré|au cas où
tr|Maskeli hamster uykusunu alıyor, ... öteki yazmaya devam ediyor. Belli ki akıllı olan o.|oysa|rağmen|diye
hu|A maszkos hörcsög kialussza magát, ... a másik tovább gépel. Nyilván ő az okos.|míg|annak ellenére|arra az esetre
MEDIA 4210 | meaning: to have something in your hands or grip
E 40060 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
en|While the hamster ... the ice creams over its face, someone stole a bite. A disaster!|was holding|held|has held
de|Während der Hamster das Eis vor sein Gesicht ..., hat jemand ein Stück geklaut. Eine Katastrophe!|hielt|hielt|gehalten hat
ua|Поки хом'як ... морозиво перед мордочкою, хтось вкрав шматочок. Катастрофа!|тримав|тримав|тримав
es|Mientras el hámster ... los helados delante de la cara, alguien le robó un mordisco. ¡Un desastre!|sostenía|sostuvo|ha sostenido
fr|Pendant que le hamster ... les glaces devant son visage, quelqu'un en a volé une bouchée. Une catastrophe !|tenait|tint|a tenu
tr|Hamster dondurmaları yüzünün önünde ... biri bir ısırık çaldı. Felaket!|tutarken|tuttuğunda|tutmuşken
hu|Miközben a hörcsög az arca előtt ... a jégkrémeket, valaki ellopott egy harapást. Katasztrófa!|tartotta|tartotta|tartotta
E 40068 | B2 type 65 All Present Tenses | style slang | options 3 | SEL
en|Bro, the hamster ... two ice creams right now, no cap.|is holding|holds|has held
de|Bro, der Hamster ... gerade zwei Eis, kein Witz.|hält|hält|hat gehalten
ua|Бро, хом'як просто зараз ... два морозива, без жартів.|тримає|тримає|тримав
es|Bro, el hámster ... dos helados ahora mismo, en serio.|está sosteniendo|sostiene|ha sostenido
fr|Frérot, le hamster ... deux glaces en ce moment, sans mentir.|tient|tient|a tenu
tr|Kanka, hamster şu anda iki dondurma ..., yemin ederim.|tutuyor|tutar|tuttu
hu|Tesó, a hörcsög épp most két jégkrémet ..., komolyan.|tart|tart|tartott
MEDIA 4218 | meaning: a motor that turns heat into movement
E 38944 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the tractor had a new engine, it ... so much black smoke.|would not make|will not make|did not make
de|Wenn der Traktor einen neuen Motor hätte, ... er nicht so viel schwarzen Rauch.|machte|macht|machte
ua|Якби трактор мав новий двигун, він ... стільки чорного диму.|не випускав би|не випускатиме|не випускав
es|Si tuviera un motor nuevo, el tractor ... tanto humo negro.|no echaría|no echará|no echó
fr|Si le tracteur avait un moteur neuf, il ... autant de fumée noire.|ne ferait pas|ne fera pas|ne faisait pas
tr|Traktörün yeni bir motoru olsaydı, o bu kadar çok siyah duman ...|çıkarmazdı|çıkarmayacak|çıkarmadı
hu|Ha új motorja lenne, a traktor nem ... ennyi fekete füstöt.|eregetne|fog eregetni|eregetett
E 38947 | B2 type 62 Articles advanced | style nerd | options 3 | SEL
en|In fact, ... produced by this engine indicates a heavy load.|the black smoke|a black smoke|black smokes
de|Tatsächlich deutet ... dieses Motors auf eine hohe Last hin.|der schwarze Rauch|ein schwarzer Rauch|schwarze Rauche
ua|Насправді ..., який видає цей двигун, свідчить про велике навантаження.|чорний дим|чорний дим|чорні дими
es|De hecho, ... que produce este motor indica una carga pesada.|el humo negro|un humo negro|humos negros
fr|En fait, ... produite par ce moteur indique une forte charge.|la fumée noire|une fumée noire|des fumées noires
tr|Aslında bu motorun çıkardığı ... ağır bir yüke işaret ediyor.|siyah duman|bir siyah duman|siyah dumanlar
hu|Valójában ..., amelyet ez a motor termel, nagy terhelésre utal.|a fekete füst|egy fekete füst|fekete füstök
MEDIA 4219 | meaning: a living animal that can move by itself
E 37141 | B1 type 44 Relative clauses | style gossip | options 3 | SEL
en|Guess what, the guy ... beast jumped off that cliff apparently wasn't even scared.|whose|who|which
de|Rate mal, der Typ, ... Biest von der Klippe gesprungen ist, hatte angeblich nicht mal Angst.|dessen|der|das
ua|Уяви, хлопець, ... звір стрибнув з тієї скелі, кажуть, навіть не злякався.|чий|який|яке
es|Adivina, el chico ... bestia saltó de ese acantilado al parecer ni siquiera tenía miedo.|cuya|que|la cual
fr|Devine quoi, le mec ... la bête a sauté de cette falaise n'avait apparemment même pas peur.|dont|qui|laquelle
tr|Tahmin et ne oldu, o adam, ... canavarı o uçurumdan atladı, duyduğuma göre korkmamış bile.|ki|kim|hangi
hu|Képzeld, a srác, ... fenevadja leugrott arról a szikláról, állítólag meg se ijedt.|akinek a|aki|amely
E 37147 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The beast ... on the cliff for a long time before it jumped.|had been standing|has been standing|was standing
de|Das Biest ... lange auf der Klippe gestanden, bevor es sprang.|hatte|hat|war
ua|Звір довго ... на скелі, перш ніж стрибнути.|стояв|стоїть|стояв
es|La bestia ... en el acantilado mucho tiempo antes de saltar.|había estado|ha estado|estaba
fr|La bête ... sur la falaise depuis longtemps quand elle a sauté.|se tenait|se tient|se tenait
tr|Canavar atlamadan önce uzun süre uçurumda ...|duruyordu|duruyor|duruyordu
hu|A fenevad sokáig ... a sziklán, mielőtt leugrott.|állt|áll|állt
