MEDIA 4222 | meaning: to signal with your hand
E 44658 | B1 type 31 Past Continuous | style slang | options 3 | SEL
es|Tú ... la manzana cuando llegó esa hamburguesa gigante, y sinceramente, tu apetito es icónico.|estabas terminando|has terminado|terminas
fr|Tu ... la pomme quand ce burger géant est arrivé, et franchement, ton appétit est iconique.|finissais|as fini|finis
tr|O dev burger geldiğinde sen elmayı ... ve açıkçası, iştahın efsane.|bitiriyordun|bitirdin|bitirirsin
hu|Te épp ... az almát, amikor megjött az az óriási burger, és őszintén, az étvágyad ikonikus.|fejezted be|befejezted|befejezed
E 36748 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|After one bite of the giant burger, he has ... today.|an enormous appetite|the enormous appetite|enormous appetite
de|Nach einem Bissen vom Riesenburger hat er heute ...|einen riesigen Appetit|den riesigen Appetit|riesigen Appetit
ua|Після одного укусу гігантського бургера він сьогодні має ...|величезний апетит|величезний апетит|величезний апетит
es|Después de un bocado de la hamburguesa gigante, él tiene hoy ...|un apetito enorme|el apetito enorme|apetito enorme
fr|Après une bouchée du burger géant, il a ... aujourd'hui.|un appétit énorme|l'appétit énorme|appétit énorme
tr|Dev burgerden bir ısırıktan sonra onun bugün ... var.|müthiş bir iştahı|müthiş iştahı|müthiş iştahı
hu|Egy harapás után az óriási burgerből ma ... van.|hatalmas étvágya|a hatalmas étvágya|hatalmas étvágya
MEDIA 4403 | meaning: a single thickness of some material
E 40539 | B1 type 35 Past Perfect Simple | style business | options 3 | SEL
en|By the 9 a.m. meeting, he ... another layer of blankets.|had added|has added|adds
de|Bis zum Meeting um 9 Uhr ... er noch eine Schicht Decken hinzugefügt.|hatte|hat|fügt
ua|До наради о 9:00 він ... ще один шар ковдр.|додав|додав|додає
es|Para la reunión de las 9, él ya ... otra capa de mantas.|había añadido|ha añadido|añade
fr|Avant la réunion de 9 h, il ... une autre couche de couvertures.|avait ajouté|a ajouté|ajoute
tr|Saat 9 toplantısına kadar o, bir kat battaniye daha ...|eklemişti|ekledi|ekler
hu|A reggel 9-es meetingre ő már ... még egy réteg takarót.|rátett|rátett|rátesz
E 40543 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|He ... under many layers now, and only his face shows.|is hiding|hides|has hidden
de|Er ... sich jetzt unter vielen Schichten, und nur sein Gesicht ist zu sehen.|versteckt|versteckt|hat versteckt
ua|Він зараз ... під багатьма шарами, і видно лише його обличчя.|ховається|ховається|сховався
es|Él ... bajo muchas capas ahora, y solo se le ve la cara.|se está escondiendo|se esconde|se ha escondido
fr|Il ... sous plein de couches maintenant, et on ne voit que son visage.|se cache|se cache|s'est caché
tr|O şimdi birçok katmanın altında ... ve sadece yüzü görünüyor.|saklanıyor|saklanır|saklandı
hu|Ő most sok réteg alatt ..., és csak az arca látszik.|bujkál|bujkál|elbújt
MEDIA 4404 | meaning: physical damage to the body from an accident
E 40245 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|He managed ... the injury with a small plaster.|to cover|covering|cover
de|Er schaffte es, die Verletzung mit einem kleinen Pflaster ...|abzudecken|abdeckend|abdecken
ua|Він зумів ... рану маленьким пластирем.|закрити|закриття|закрити
es|Él logró ... la herida con una tirita pequeña.|cubrir|cubriendo|cubrir
fr|Il a réussi à ... la blessure avec un petit pansement.|couvrir|couvrant|couvrir
tr|O, yarayı küçük bir yara bandıyla ... başardı.|kapatmayı|kapatarak|kapatmak
hu|Ő képes volt ... a sérülést egy kis sebtapasszal.|lefedni|lefedve|lefed
E 40247 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|He ... vegetables for ages without injury before the knife slipped. A real professional.|had been chopping|has been chopping|chops
de|Er ... ewig ohne Verletzung Gemüse geschnitten, bevor das Messer abrutschte. Ein echter Profi.|hatte|hat|schneidet
ua|Він ... овочі цілу вічність без травм, поки не зісковзнув ніж. Справжній професіонал.|різав|ріже|ріже
es|Él ... verduras durante siglos sin herirse antes de que se le resbalara el cuchillo. Todo un profesional.|había estado cortando|ha estado cortando|corta
fr|Il ... des légumes pendant une éternité sans se blesser avant que le couteau glisse. Un vrai pro.|avait coupé|a coupé|coupe
tr|O, bıçak kaymadan önce çok uzun süre yaralanmadan sebze ...; gerçek bir profesyonel.|doğramıştı|doğruyor|doğrar
hu|Ő egy örökkévalóságig ... sérülés nélkül a zöldséget, mielőtt megcsúszott a kés. Igazi profi.|aprította|aprítja|aprítja
MEDIA 4406 | meaning: to make something smooth, as if by rubbing
E 43199 | B1 type 42 Passive or Active | style dramatic | options 3 | SEL
en|The artist ... the stripes into her skin, and the disaster was gone!|smoothed|was smoothed|smoothing
de|Die Visagistin ... die Streifen auf ihrer Haut, und die Katastrophe war weg!|glättete|wurde geglättet|glättend
ua|Візажистка ... смуги на її шкірі, і катастрофа зникла!|розгладила|була розгладжена|розгладжуючи
es|¡La maquilladora ... las franjas sobre su piel, y el desastre desapareció!|alisó|fue alisada|alisando
fr|La maquilleuse ... les bandes sur sa peau, et la catastrophe a disparu !|a lissé|a été lissée|lissant
tr|Makyöz şeritleri cildinde ... ve felaket yok oldu!|düzeltti|düzeltildi|düzelterek
hu|A sminkes ... a csíkokat a bőrén, és a katasztrófa eltűnt!|elsimította|elsimították|elsimítva
E 43206 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The artist ... the stripes with a sponge before she used the brush.|had smoothed|has smoothed|is smoothing
de|Die Visagistin ... die Streifen mit einem Schwamm geglättet, bevor sie den Pinsel benutzte.|hatte|hat|glättet
ua|Візажистка ... смуги губкою, перш ніж узяла пензлик.|розгладила|розгладила|розгладжує
es|La maquilladora ... las franjas con una esponja antes de usar la brocha.|había alisado|ha alisado|está alisando
fr|La maquilleuse ... les bandes avec une éponge avant d'utiliser le pinceau.|avait lissé|a lissé|est en train de lisser
tr|Makyöz, fırçayı kullanmadan önce şeritleri süngerle ...|düzeltmişti|düzeltti|düzeltiyor
hu|A sminkes ... a csíkokat egy szivaccsal, mielőtt az ecsetet használta.|elsimította|elsimította|simítja
MEDIA 4408 | meaning: the sensation you get from food on your tongue
E 43933 | B1 type 31 Past Continuous | style ironic | options 3 | SEL
en|Clearly suffering: he ... the taste of his smoothie when the grin appeared.|was enjoying|enjoyed|has enjoyed
de|Sichtlich am Leiden: Er ... gerade den Geschmack seines Smoothies, als das Grinsen auftauchte.|genoss|genoss|hat genossen
ua|Явно страждає: він ... смаком свого смузі, коли з'явилася усмішка.|насолоджувався|насолодився|насолодився
es|Claramente sufriendo: él ... el sabor de su smoothie cuando apareció la sonrisa.|estaba disfrutando|disfrutó|ha disfrutado
fr|Clairement en souffrance : il ... le goût de son smoothie quand le sourire est apparu.|savourait|a savouré|a savouré
tr|Belli ki acı çekiyor: sırıtma belirdiğinde o smoothiesinin tadını ...|çıkarıyordu|çıkardı|çıkardı
hu|Egyértelműen szenved: ő épp ... a smoothie-ja ízét, amikor megjelent a vigyor.|élvezte|élvezte|élvezte
E 43943 | B2 type 62 Articles advanced | style flirt | options 3 | SEL
en|Honestly, you made ... of this smoothie perfect with that mango.|the taste|a taste|taste
de|Ehrlich, du hast mit dieser Mango ... dieses Smoothies perfekt gemacht.|den Geschmack|einen Geschmack|Geschmack
ua|Чесно, ти зробив ... цього смузі ідеальним завдяки тому манго.|смак|смак|смак
es|Sinceramente, tú hiciste perfecto ... de este smoothie con ese mango.|el sabor|un sabor|sabor
fr|Franchement, tu as rendu ... de ce smoothie parfait avec cette mangue.|le goût|un goût|goût
tr|Açıkçası, sen o mangoyla bu smoothienin ... mükemmel yaptın.|tadını|bir tadını|tadını
hu|Őszintén, te azzal a mangóval tökéletessé tetted ... ennek a smoothie-nak.|az ízét|egy ízét|ízét
MEDIA 4409 | meaning: unable to see
E 37251 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time they took the blindfolds off, the blind players ... half the streamers down.|had pulled|have pulled|pulled
de|Als sie die Augenbinden abnahmen, ... die blinden Spieler schon die Hälfte der Luftschlangen heruntergerissen.|hatten|haben|rissen
ua|Поки вони зняли пов'язки з очей, сліпі гравці ... половину серпантину.|зірвали|зірвали|зривали
es|Para cuando se quitaron las vendas, los jugadores ciegos ya ... la mitad de las serpentinas.|habían arrancado|han arrancado|arrancaron
fr|Au moment où ils ont enlevé les bandeaux, les joueurs aveugles ... la moitié des serpentins.|avaient arraché|ont arraché|ont arraché
tr|Onlar göz bantlarını çıkardığında, kör oyuncular süslerin yarısını çoktan ...|indirmişti|indirdi|indirdi
hu|Mire levették a szemkötőket, a vak játékosok a szalagok felét már ...|letépték|letépték|letépték
E 37257 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Listen, I heard they ... around blind for an hour when the blindfolds came off.|had been stumbling|were stumbling|have been stumbling
de|Hör mal, ich hab gehört, dass sie schon eine Stunde blind ..., als die Augenbinden abkamen.|herumgestolpert waren|herumstolperten|herumgestolpert sind
ua|Слухай, я чула, що вони ... наосліп уже годину, коли зняли пов'язки.|спотикалися|спотикалися|спотикаються
es|Oye, yo he oído que ellos ... a ciegas durante una hora cuando se quitaron las vendas.|habían estado tropezando|estaban tropezando|han estado tropezando
fr|Écoute, j'ai entendu dire qu'ils ... à l'aveugle depuis une heure quand les bandeaux sont tombés.|trébuchaient|trébuchaient|ont trébuché
tr|Dinle, ben duydum ki göz bantları çıktığında onlar bir saattir körlemesine ...|sendeliyorlarmış|sendeliyorlardı|sendeliyorlar
hu|Figyelj, én úgy hallottam, hogy ők már egy órája ... vakon, amikor lekerültek a szemkötők.|botladoztak|botladoztak|botladoznak
MEDIA 4411 | meaning: medical care given to help someone get better
E 44282 | B1 type 47 Gerund vs Infinitive | style dramatic | options 3 | SEL
en|She could not avoid ... treatment in the middle of this nightmare hike!|getting|to get|get
de|Sie konnte es nicht vermeiden, mitten auf dieser Albtraumwanderung eine Behandlung ...!|zu bekommen|zu bekommen|bekommen
ua|Вона не змогла уникнути ... допомоги посеред цього кошмарного походу!|отримання|отримати|отримати
es|¡Ella no pudo evitar ... tratamiento en medio de esta caminata de pesadilla!|recibir|recibir|recibir
fr|Elle n'a pas pu éviter de ... des soins au milieu de cette rando cauchemardesque !|recevoir|recevoir|recevoir
tr|O, bu kâbus gibi yürüyüşün ortasında tedavi ... kaçamadı!|olmaktan|olmaya|ol
hu|Ő nem tudta elkerülni, hogy ... kezelést ennek a rémálomszerű túrának a közepén!|kapjon|kapjon|kap
E 44289 | B2 type 62 Articles advanced | style ironic | options 3 | SEL
en|A relaxing hike, obviously. The plaster was ... in the whole pack.|the only treatment|an only treatment|only treatment
de|Eine entspannte Wanderung, klar. Das Pflaster war ... im ganzen Rucksack.|die einzige Behandlung|eine einzige Behandlung|einzige Behandlung
ua|Розслаблювальний похід, звісно. Пластир був ... в усьому рюкзаку.|єдиними ліками|єдиними ліками|єдиними ліками
es|Una caminata relajante, obviamente. La tirita era ... en toda la mochila.|el único tratamiento|un único tratamiento|único tratamiento
fr|Une rando reposante, évidemment. Le pansement était ... dans tout le sac.|le seul soin|un seul soin|seul soin
tr|Rahatlatıcı bir yürüyüş, tabii ki. Bütün çantadaki ... yara bandıydı.|tek tedavi|bir tek tedavi|tek tedavi
hu|Pihentető túra, nyilván. A sebtapasz volt ... az egész hátizsákban.|az egyetlen kezelés|egy egyetlen kezelés|egyetlen kezelés
MEDIA 4412 | meaning: to make a way unsuitable for passage
E 37267 | B1 type 45 Reported speech | style flirt | options 3 | SEL
en|You told the shepherd his sheep ... your van. Honestly, iconic hi-vis vest.|were blocking|are blocking|blocks
de|Du hast dem Hirten gesagt, seine Schafe ... deinen Transporter. Ehrlich, ikonische Warnweste.|blockierten|blockieren|blockiert
ua|Ти сказав пастуху, що його вівці ... твій фургон. Чесно, культовий світловідбивний жилет.|блокують|блокують|блокує
es|Tú le dijiste al pastor que sus ovejas ... tu furgoneta. Sinceramente, un chaleco reflectante icónico.|estaban bloqueando|están bloqueando|bloquea
fr|Tu as dit au berger que ses moutons ... ta camionnette. Franchement, gilet fluo iconique.|bloquaient|bloquent|bloque
tr|Sen çobana koyunlarının kamyonetini ... söyledin. Açıkçası, efsane reflektörlü yelek.|kapattığını|kapattığını|kapatıyor
hu|Te azt mondtad a pásztornak, hogy a juhai ... a furgonodat. Őszintén, ikonikus láthatósági mellény.|elállják|elállják|elállja
MEDIA 4414 | meaning: an energetic attempt to achieve something
E 43712 | B2 type 58 Inversion basic | style chill | options 3 | SEL
en|Only after a long struggle ... reach the top of the hill.|did he|he did|he could
de|Erst nach einem langen Kampf ... den Gipfel des Hügels.|erreichte er|er erreichte|konnte er erreichen
ua|Лише після довгої боротьби він ... вершини пагорба.|дістався|дістався|зміг дістатися
es|Solo después de una larga lucha él ... a la cima de la colina.|llegó|llegó|pudo llegar
fr|Ce n'est qu'après une longue lutte qu'il ... le sommet de la colline.|a atteint|a atteint|a pu atteindre
tr|Ancak uzun bir mücadeleden sonra o tepenin zirvesine ...|ulaştı|ulaştı|ulaşabildi
hu|Csak hosszú küzdelem után ... ő a domb tetejére.|ért fel|ért fel|tudott felérni
