MEDIA 5209 | meaning: to sit or lie back comfortably doing nothing
E 40734 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
es|Qué va, bro, esos dos la ... unos 200 metros para cuando se abrazaron en la meta.|habían estado ayudando|estaban ayudando|han estado ayudando
fr|Nan frérot, ces deux-là ... sur genre 200 mètres au moment où ils se sont enlacés sur la ligne.|l'avaient aidée|l'aidaient|l'ont aidée
tr|Yok kanka, o ikisi bitişte sarılana kadar ona 200 metre kadar ...|yardım ediyordu|yardım ediyordu|yardım ediyor
hu|Á, tesó, az a kettő nagyjából 200 méteren át ... neki, mire a célban összeölelkeztek.|segített|segített|segít
MEDIA 5364 | meaning: to give someone help with something
E 36872 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|In her old races, she ... need anyone to assist her at the finish.|didn't use to|wouldn't|wasn't used to
de|Bei ihren früheren Rennen ... sie niemanden, der ihr im Ziel assistierte.|brauchte früher|brauchte|war es gewohnt zu brauchen
ua|На своїх старих перегонах вона ... нікого, хто допоміг би їй на фініші.|раніше не потребувала|не потребувала б|не звикла потребувати
es|En sus carreras de antes, ella ... necesitar a nadie que la ayudara en la meta.|no solía|no iba a|no estaba acostumbrada a
fr|Dans ses anciennes courses, elle ... besoin de personne pour l'aider à l'arrivée.|n'avait jamais|n'aurait|n'était pas habituée à avoir
tr|Eski yarışlarında o bitişte kendisine yardım edecek birine ...|ihtiyaç duymazdı|ihtiyaç duymazdı|ihtiyaç duymaya alışkın değildi
hu|A régi versenyein ő ... senkire, aki segítsen neki a célban.|nem szokott rászorulni|nem szorult volna|nem volt hozzászokva, hogy rászoruljon
E 36878 | B2 type 52 Future Perfect Continuous | style business | options 3 | SEL
en|By the end of the race, the finish-line team ... runners for four hours, per the report.|will have been assisting|will be assisting|will assist
de|Bis zum Ende des Rennens wird das Team im Ziel den Läufern laut Bericht vier Stunden lang ...|geholfen haben|helfen|helfen
ua|До кінця перегонів команда на фініші ... бігунам чотири години, згідно зі звітом.|допомагатиме|допомагатиме|допоможе
es|Para el final de la carrera, el equipo de meta ... a los corredores durante cuatro horas, según el informe.|habrá estado asistiendo|estará asistiendo|asistirá
fr|D'ici la fin de la course, l'équipe de l'arrivée ... les coureurs pendant quatre heures, selon le rapport.|aura assisté|sera en train d'assister|assistera
tr|Yarışın sonuna kadar bitiş ekibi rapora göre dört saat boyunca koşuculara ...|yardım etmiş olacak|yardım ediyor olacak|yardım edecek
hu|A verseny végére a célcsapat a jelentés szerint négy órán át ... a futóknak.|segített majd|segíteni fog|segít majd
MEDIA 5365 | meaning: an instrument used in fighting or hunting
E 44700 | B1 type 42 Passive or Active | style dramatic | options 3 | SEL
en|His weapon ... down onto the grass! It's over, completely over!|was lowered|lowered|lowering
de|Seine Waffe wurde ins Gras ...! Es ist vorbei, komplett vorbei!|gesenkt|senkte|senkend
ua|Його зброя ... на траву! Усе скінчено, повністю скінчено!|була опущена|опустила|опускаючи
es|¡Su arma ... sobre la hierba! ¡Se acabó, se acabó del todo!|fue bajada|bajó|bajando
fr|Son arme ... dans l'herbe ! C'est fini, complètement fini !|a été baissée|a baissé|baissant
tr|Onun silahı çimenlere ...! Bitti, tamamen bitti!|indirildi|indirdi|indirerek
hu|A fegyverét ... a fűbe! Vége, teljesen vége!|leengedték|leengedte|leengedve
E 44710 | B2 type 52 Future Perfect Continuous | style nerd | options 3 | SEL
en|By 5 p.m., the players ... this type of weapon for approximately six hours.|will have been using|will be using|have used
de|Bis 17 Uhr werden die Spieler diesen Waffentyp etwa sechs Stunden lang ...|benutzt haben|benutzen|benutzt
ua|До 17:00 гравці ... цей тип зброї приблизно шість годин.|використовуватимуть|використовуватимуть|використовували
es|Para las 17:00, los jugadores ... este tipo de arma durante aproximadamente seis horas.|habrán estado usando|estarán usando|han usado
fr|D'ici 17 h, les joueurs ... ce type d'arme pendant environ six heures.|auront utilisé|seront en train d'utiliser|ont utilisé
tr|Saat 17.00'ye kadar oyuncular bu tür silahı yaklaşık altı saattir ...|kullanıyor olacak|kullanıyor olacak|kullandı
hu|Délután 5-re a játékosok körülbelül hat órája ... ezt a fegyvertípust.|fogják használni|fogják használni|használták
MEDIA 5366 | meaning: to give up to the power of another
E 43856 | B2 type 64 Future in past | style dramatic | options 3 | SEL
en|The moment paint burst, he knew he ... within seconds! Total disaster!|would surrender|will surrender|is surrendering
de|In dem Moment, als die Farbe platzte, wusste er, dass er sich innerhalb von Sekunden ...! Totale Katastrophe!|ergeben würde|ergeben wird|ergibt
ua|Щойно вибухнула фарба, він знав, що ... за лічені секунди! Повна катастрофа!|здасться|здасться|здається
es|¡En cuanto estalló la pintura, él supo que se ... en cuestión de segundos! ¡Desastre total!|rendiría|rendirá|está rindiendo
fr|Au moment où la peinture a éclaté, il a su qu'il ... en quelques secondes ! Désastre total !|se rendrait|se rendra|se rend
tr|Boya patladığı an o saniyeler içinde ... biliyordu! Tam bir felaket!|teslim olacağını|teslim olacağını|teslim olduğunu
hu|Abban a pillanatban, amikor a festék szétfröccsent, ő tudta, hogy másodperceken belül ...! Teljes katasztrófa!|megadja magát|meg fogja adni magát|megadja magát
MEDIA 5367 | meaning: to cram something into a tight space
E 43747 | B1 type 35 Past Perfect Simple | style business | options 3 | SEL
en|By the break, she ... 12 burgers into her mouth and beaten the target.|had stuffed|has stuffed|stuffs
de|Bis zur Pause ... sie sich 12 Burger in den Mund gestopft und das Ziel übertroffen.|hatte|hat|stopft
ua|До перерви вона ... до рота 12 бургерів і перевершила ціль.|напхала|напхала|напихає
es|Para el descanso, ella se ... 12 hamburguesas en la boca y superado el objetivo.|había metido|ha metido|mete
fr|À la pause, elle ... 12 burgers dans la bouche et dépassé l'objectif.|s'était enfoncé|s'est enfoncé|s'enfonce
tr|Molaya kadar o ağzına 12 burger ... ve hedefi aşmıştı.|tıkıştırmıştı|tıkıştırdı|tıkıştırıyor
hu|A szünetre ő ... 12 burgert a szájába, és túlszárnyalta a célt.|már betömött|betömött|betöm
E 43752 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|She ... burgers for five minutes when her cheeks almost exploded!|had been stuffing|has been stuffing|is stuffing
de|Sie ... sich schon fünf Minuten lang Burger rein, als ihre Wangen fast explodierten!|stopfte|stopft|stopft gerade
ua|Вона ... бургерами п'ять хвилин, коли її щоки мало не вибухнули!|напихалася|напихається|напихається
es|¡Ella ... hamburguesas durante cinco minutos cuando casi le explotan las mejillas!|había estado zampándose|ha estado zampándose|está zampándose
fr|Elle ... des burgers depuis cinq minutes quand ses joues ont failli exploser !|s'enfilait|s'enfile|est en train de s'enfiler
tr|Yanakları neredeyse patladığında o beş dakikadır burger ...!|tıkıştırıyordu|tıkıştırıyor|tıkıştırıyor
hu|Ő már öt perce ... a burgereket, amikor majdnem szétrobbant az arca!|tömte|tömi|tömi
MEDIA 5368 | meaning: to be subjected to something bad
E 43769 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If the sun ... this hot, people suffer and sweat a lot.|is|was|will be
de|Wenn die Sonne so heiß ..., leiden die Menschen und schwitzen viel.|ist|war|sein wird
ua|Коли сонце ... таке пекуче, люди страждають і сильно пітніють.||було|буде
es|Si el sol ... así de fuerte, la gente sufre y suda mucho.|está|estaba|estará
fr|Si le soleil ... aussi chaud, les gens souffrent et transpirent beaucoup.|est|était|sera
tr|Güneş bu kadar sıcak ..., insanlar acı çeker ve çok terler.|olursa|olduysa|olacaksa
hu|Ha a nap ... ilyen forró, az emberek szenvednek és sokat izzadnak.||volt|lesz
MEDIA 5369 | meaning: not given to gentleness or soft feelings
E 44174 | B1 type 45 Reported speech | style dramatic | options 3 | SEL
en|He said the training ... the toughest of his whole life! Pure agony!|had been|has been|is
de|Er sagte, dass das Training das härteste seines ganzen Lebens ...! Pure Qual!|gewesen war|gewesen ist|ist
ua|Він сказав, що тренування ... найважчим у всьому його житті! Суща агонія!|було|було|є
es|¡Él dijo que el entrenamiento ... el más duro de toda su vida! ¡Pura agonía!|había sido|ha sido|es
fr|Il a dit que l'entraînement ... le plus dur de toute sa vie ! Une pure agonie !|avait été|a été|est
tr|O antrenmanın tüm hayatının en zoru ... söyledi! Tam bir işkence!|olmuş olduğunu|olduğunu|olduğunu
hu|Ő azt mondta, hogy az edzés ... egész élete legkeményebbje! Tiszta kín!|volt|volt|
E 44179 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|He ... for two hours, so he looked tired but tough.|had been training|has been training|is training
de|Er ... seit zwei Stunden, also sah er müde, aber taff aus.|trainierte|trainiert|trainiert gerade
ua|Він ... дві години, тож виглядав утомленим, але міцним.|тренувався|тренується|тренується
es|Él ... durante dos horas, así que parecía cansado pero duro.|había estado entrenando|ha estado entrenando|está entrenando
fr|Il ... depuis deux heures, alors il avait l'air fatigué mais coriace.|s'entraînait|s'entraîne|est en train de s'entraîner
tr|O iki saattir ..., bu yüzden yorgun ama sert görünüyordu.|antrenman yapıyordu|antrenman yapıyor|antrenman yapıyor
hu|Ő két órája ..., így fáradtnak, de keménynek tűnt.|edzett|edz|edz
MEDIA 5370 | meaning: a narrow boat that you move with a paddle
E 37569 | B2 type 61 Relative clauses | style dramatic | options 3 | SEL
en|The canoe, ... paddle nearly slipped into the sea, survived the disaster!|whose|which|that
de|Das Kanu, ... Paddel beinahe ins Meer rutschte, hat die Katastrophe überlebt!|dessen|das|welches
ua|Каное, ... весло мало не зісковзнуло в море, пережило катастрофу!|чиє|яке|що
es|¡La canoa, ... remo casi se resbala al mar, sobrevivió al desastre!|cuyo|que|la cual
fr|Le canoë, ... la pagaie a failli glisser dans la mer, a survécu au désastre !|dont|qui|que
tr|... küreği neredeyse denize kayan kano, felaketten sağ çıktı!|||
hu|A kenu, ... az evezője majdnem a tengerbe csúszott, túlélte a katasztrófát!|amelynek|amely|ami
MEDIA 5371 | meaning: a ring or chain of flowers used as decoration
E 39723 | B1 type 36 Future Continuous | style flirt | options 3 | SEL
en|Honestly, this time next year you ... the same garland at this lake.|will be wearing|will wear|wear
de|Ehrlich, nächstes Jahr um diese Zeit wirst du denselben Kranz an diesem See ...|tragen|tragen|trägst
ua|Чесно, наступного року в цей час ти ... той самий вінок біля цього озера.|носитимеш|одягнеш|носиш
es|Sinceramente, el año que viene por estas fechas tú ... la misma guirnalda en este lago.|estarás llevando|llevarás|llevas
fr|Franchement, l'année prochaine à la même époque, tu ... la même couronne au bord de ce lac.|porteras|porteras|portes
tr|Açıkçası, seneye bu zamanlar sen bu gölün kenarında aynı çelengi ...|takıyor olacaksın|takacaksın|takıyorsun
hu|Őszintén, jövőre ilyenkor te ugyanazt a koszorút ... ennél a tónál.|fogod viselni|viseled majd|viseled
MEDIA 5373 | meaning: to become larger in size or volume
E 39061 | B1 type 35 Past Perfect Simple | style ironic | options 3 | SEL
en|By the time anyone noticed, the dough ... over the rim. Great job watching, everyone.|had expanded|has expanded|expands
de|Als es endlich jemand bemerkte, ... der Teig schon über den Rand gequollen. Super aufgepasst, alle zusammen.|war|ist|quillt
ua|Поки хтось помітив, тісто вже ... через край. Чудова робота з наглядом, усі.|розрослося|розрослося|розростається
es|Para cuando alguien se dio cuenta, la masa ya ... por encima del borde. Buen trabajo vigilando, chicos.|había crecido|ha crecido|crece
fr|Le temps que quelqu'un s'en aperçoive, la pâte ... par-dessus le bord. Bravo pour la surveillance, tout le monde.|avait gonflé|a gonflé|gonfle
tr|Biri fark ettiğinde hamur çoktan ... kenarın üstüne doğru. Harika gözetim, millet.|kabarmıştı|kabardı|kabarıyor
hu|Mire bárki észrevette, a tészta már ... a peremen túl. Remek felügyelet, mindenki.|megdagadt|megdagadt|dagad
E 39065 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Right now the blue paddling pool ... on the lawn in front of the woman.|is expanding|expands|has expanded
de|Gerade ... das blaue Planschbecken auf dem Rasen vor der Frau.|wächst|wächst|ist gewachsen
ua|Прямо зараз блакитний дитячий басейн ... на газоні перед жінкою.|збільшується|збільшується|збільшився
es|Ahora mismo, la piscina hinchable azul ... en el césped delante de la mujer.|se está expandiendo|se expande|se ha expandido
fr|En ce moment, la piscine gonflable bleue ... sur la pelouse devant la femme.|est en train de gonfler|gonfle|a gonflé
tr|Şu anda mavi şişme havuz kadının önündeki çimenlikte ...|genişliyor|genişler|genişledi
hu|Épp most a kék pancsolómedence ... a pázsiton a nő előtt.|tágul|tágul|kitágult
