MEDIA 4415 | meaning: a remark expressing praise or admiration
E 37968 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
fr|Devine quoi, apparemment la piétonne, ... le tailleur était corail, a traversé avant tout le monde.|dont|qui|lequel
tr|Bil bakalım, galiba takım elbisesi mercan rengi olan ... yaya herkesten önce karşıya geçmiş.|||
hu|Képzeld, állítólag a gyalogos nő, ... kosztümje korallszínű volt, mindenki más előtt átment.|akinek a|aki|ami
MEDIA 4592 | meaning: the part of the leg below the ankle
E 39512 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|In the past, most wineries ... have machines, so feet did the work.|didn't use to|wouldn't|weren't used to
de|Früher ... die meisten Weingüter keine Maschinen, also machten Füße die Arbeit.|hatten|hatten|waren nicht gewohnt an
ua|Раніше більшість виноробень ... машин, тож роботу виконували ноги.|не мали|не мали|не звикли мати
es|Antes, la mayoría de las bodegas no ... máquinas, así que los pies hacían el trabajo.|solían tener|tenían|estaban acostumbradas a tener
fr|Autrefois, la plupart des domaines viticoles ... de machines, donc c'étaient les pieds qui faisaient le travail.|n'avaient pas|n'avaient pas|n'étaient pas habitués à avoir
tr|Eskiden şarap üreticilerinin çoğunun makinesi ..., bu yüzden işi ayaklar yapardı.|yoktu|olmazdı|olmaya alışkın değildi
hu|Régen a legtöbb borászatnak nem ... gépe, ezért a lábak végezték a munkát.|volt|volt|volt megszokva, hogy legyen
E 39514 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Girl, I heard they ... grapes with their feet every September.|crush|are crushing|have crushed
de|Mädel, ich hab gehört, sie ... jeden September Trauben mit den Füßen.|stampfen|stampfen gerade|haben gestampft
ua|Подруго, я чула, що вони щовересня ... виноград ногами.|чавлять|чавлять|почавили
es|Tía, yo oí que ellos ... uvas con los pies cada septiembre.|pisan|están pisando|han pisado
fr|Ma belle, j'ai entendu dire qu'ils ... le raisin avec les pieds chaque septembre.|foulent|sont en train de fouler|ont foulé
tr|Kızım, ben duydum ki onlar her eylülde üzümleri ayaklarıyla ...|eziyormuş|eziyormuş|ezmiş
hu|Csajszi, én úgy hallottam, hogy ők minden szeptemberben a lábukkal ... a szőlőt.|taposják|taposják éppen|taposták
MEDIA 4595 | meaning: to shed tears because of sadness or pain
E 38343 | B1 type 43 Modal verbs Probability | style slang | options 3 | SEL
en|Bro, he ... be crying 'cause of a sad movie, dunno.|might|must|can't
de|Bro, er ... wegen eines traurigen Films weinen, keine Ahnung.|könnte|muss|kann nicht
ua|Бро, він ... плакати через сумний фільм, хз.|може|мусить|не може
es|Bro, él ... estar llorando por una peli triste, ni idea.|podría|debe de|no puede
fr|Frère, il ... pleurer à cause d'un film triste, j'sais pas.|pourrait|doit|ne peut pas
tr|Kanka, o hüzünlü bir film yüzünden ağlıyor ..., bilmiyorum.|olabilir|olmalı|olamaz
hu|Tesó, ő ... egy szomorú film miatt sír, nem tudom.|lehet, hogy|biztos|nem lehet, hogy
E 38351 | B2 type 51 Future Perfect Simple | style dramatic | options 3 | SEL
en|By midnight, he ... more tears than a whole telenovela!|will have cried|will cry|will be crying
de|Bis Mitternacht hat er mehr Tränen ... als eine ganze Telenovela!|vergossen|vergossen|vergießen
ua|До півночі він ... більше сліз, ніж ціла теленовела!|виплаче|виплаче|плакатиме
es|¡Para medianoche, él ... más lágrimas que una telenovela entera!|habrá llorado|llorará|estará llorando
fr|D'ici minuit, il ... plus de larmes qu'une telenovela entière !|aura versé|versera|sera en train de verser
tr|Gece yarısına kadar o koca bir telenovelladan daha fazla gözyaşı ...!|dökmüş olacak|dökecek|döküyor olacak
hu|Éjfélre ő több könnyet ..., mint egy egész telenovella!|fog hullatni|fog hullatni|hullat
MEDIA 4598 | meaning: unusually great in size
E 40169 | B1 type 40 2. Conditional | style nerd | options 3 | SEL
en|If the huge mug were filled completely, lifting it ... considerable effort.|would require|will require|required
de|Wäre der riesige Becher komplett gefüllt, ... sein Anheben erhebliche Anstrengung.|erforderte|erfordert|erforderte
ua|Якби величезний кухоль був повністю наповнений, його підняття ... значних зусиль.|вимагало б|вимагатиме|вимагало
es|Si la enorme taza estuviera llena del todo, levantarla ... un esfuerzo considerable.|requeriría|requerirá|requirió
fr|Si l'énorme mug était rempli à ras bord, le soulever ... un effort considérable.|demanderait|demandera|a demandé
tr|Dev kupa tamamen dolu olsaydı, onu kaldırmak ciddi bir çaba ...|gerektirirdi|gerektirecek|gerektirdi
hu|Ha az óriási bögre teljesen tele lenne, a felemelése jelentős erőfeszítést ...|igényelne|fog igényelni|igényelt
E 40170 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|Honestly, you ... that huge mug for a minute before you even took a sip. Iconic.|had been holding|have been holding|were held
de|Ehrlich, du ... den riesigen Becher eine Minute lang gehalten, bevor du überhaupt einen Schluck genommen hast. Ikonisch.|hattest|hast|wurdest
ua|Чесно, ти ... той величезний кухоль цілу хвилину, перш ніж хоч раз ковтнула. Культово.|тримала|тримаєш|була тримана
es|Sinceramente, tú ... esa taza enorme durante un minuto antes de dar siquiera un sorbo. Icónico.|habías estado sujetando|has estado sujetando|fuiste sujetada
fr|Honnêtement, tu ... cet énorme mug pendant une minute avant même de boire une gorgée. Iconique.|avais tenu|as tenu|as été tenue
tr|Açıkçası, sen daha bir yudum bile almadan o dev kupayı bir dakika boyunca ..., ikonik.|tutmuştun|tutuyorsun|tutuldun
hu|Őszintén, te egy teljes percig ... azt az óriási bögrét, mielőtt egyáltalán belekortyoltál. Ikonikus.|tartottad|tartod|tartva voltál
MEDIA 4599 | meaning: a sum of money paid
E 41485 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|The stall owner said the payment ... all in coins and notes from a pouch.|had come|has come|comes
de|Der Standbesitzer sagte, die Zahlung ... komplett in Münzen und Scheinen aus einem Beutel gekommen.|sei|ist|kommt
ua|Власник ларька сказав, що оплата ... повністю монетами й купюрами з мішечка.|надійшла|надійшла|надходить
es|El dueño del puesto dijo que el pago ... todo en monedas y billetes de una bolsita.|había llegado|ha llegado|llega
fr|Le propriétaire du stand a dit que le paiement ... entièrement en pièces et en billets sortis d'une bourse.|était arrivé|est arrivé|arrive
tr|Tezgâh sahibi, ödemenin tamamen bir keseden çıkan bozuk para ve banknotlarla ... söyledi.|geldiğini|geldiğini|geldiğini
hu|A standos azt mondta, hogy a fizetség teljes egészében érmékben és bankjegyekben ... egy erszényből.|érkezett|érkezett|érkezik
MEDIA 4600 | meaning: to give something and receive something back
E 38992 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While he ... the notes, the woman decided to exchange all her money.|was counting|counted|has counted
de|Während er die Scheine ..., beschloss die Frau, ihr ganzes Geld umzutauschen.|zählte|zählte|gezählt hat
ua|Поки він ... купюри, жінка вирішила обміняти всі свої гроші.|рахував|порахував|порахував
es|Mientras él ... los billetes, la mujer decidió cambiar todo su dinero.|estaba contando|contó|ha contado
fr|Pendant qu'il ... les billets, la femme a décidé d'échanger tout son argent.|comptait|a compté|a compté
tr|O banknotları ..., kadın bütün parasını bozdurmaya karar verdi.|sayarken|saydı|saymış
hu|Miközben ő ... a bankjegyeket, a nő úgy döntött, hogy az összes pénzét beváltja.|számolta|megszámolta|megszámolta
E 39000 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|Right now he ... her money, and she is absolutely speechless!|is exchanging|exchanges|has exchanged
de|Gerade ... er ihr Geld um, und sie ist absolut sprachlos!|tauscht|tauscht|tauschte
ua|Саме зараз він ... її гроші, і вона абсолютно втратила дар мови!|обмінює|обмінює|обміняв
es|¡Ahora mismo él ... su dinero, y ella se ha quedado completamente sin palabras!|está cambiando|cambia|ha cambiado
fr|En ce moment même, il ... son argent, et elle en reste complètement sans voix !|est en train d'échanger|échange|a échangé
tr|Şu anda o onun parasını ... ve kadın tamamen dilini yutmuş durumda!|bozuyor|bozar|bozdu
hu|Épp most ő ... a pénzét, és a nő teljesen szóhoz sem jut!|váltja be|váltja be|váltotta be
MEDIA 4601 | meaning: to put things into a proper order
E 36832 | B1 type 39 1. Conditional | style nerd | options 3 | SEL
en|If she arranges the final cushion, the row ... approximately two metres long.|will be|would be|was
de|Wenn sie das letzte Kissen platziert, ... die Reihe ungefähr zwei Meter lang.|ist|wäre|war
ua|Якщо вона розкладе останню подушку, ряд ... приблизно два метри завдовжки.|буде|був би|був
es|Si ella coloca el último cojín, la fila ... aproximadamente dos metros de largo.|tendrá|tendría|tenía
fr|Si elle dispose le dernier coussin, la rangée ... environ deux mètres de long.|fera|ferait|faisait
tr|O son yastığı da yerleştirirse, sıra yaklaşık iki metre uzunluğunda ...|olacak|olurdu|oldu
hu|Ha ő elrendezi az utolsó párnát, a sor nagyjából két méter hosszú ...|lesz|lenne|volt
MEDIA 4602 | meaning: to search or seek something
E 42726 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The officers ... the suitcase for twenty minutes before the traveller finally spoke.|had been searching|have been searching|were searching
de|Die Beamten ... den Koffer zwanzig Minuten lang durchsucht, bevor die Reisende endlich etwas sagte.|hatten|haben|waren
ua|Митники ... валізу двадцять хвилин, поки мандрівниця нарешті не заговорила.|обшукували|обшукують|обшукували
es|Los agentes ... la maleta durante veinte minutos antes de que la viajera por fin hablara.|habían estado registrando|han estado registrando|estaban registrando
fr|Les douaniers ... la valise depuis vingt minutes quand la voyageuse a enfin parlé.|fouillaient|fouillent|fouillaient
tr|Yolcu sonunda konuşana kadar memurlar bavulu yirmi dakika boyunca ...|arıyordu|arıyor|arıyordu
hu|A vámtisztek húsz percig ... a bőröndöt, mire az utas végre megszólalt.|kutatták át|kutatják át|kutatták át
MEDIA 4605 | meaning: a thin metal thread used to fasten things
E 44823 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By the end of the ride, the tram's arm ... hundreds of sparks from the wire.|will have thrown|will throw|will be throwing
de|Bis zum Ende der Fahrt hat der Stromabnehmer der Straßenbahn Hunderte Funken aus dem Draht ...|geschlagen|geschlagen|schlagen
ua|До кінця поїздки струмоприймач трамвая ... з дроту сотні іскор.|виб'є|виб'є|вибиватиме
es|Para el final del trayecto, el brazo del tranvía ... cientos de chispas del cable.|habrá sacado|sacará|estará sacando
fr|D'ici la fin du trajet, le bras du tramway ... des centaines d'étincelles du fil.|aura fait jaillir|fera jaillir|sera en train de faire jaillir
tr|Yolculuğun sonuna kadar tramvayın kolu telden yüzlerce kıvılcım ...|çıkarmış olacak|çıkaracak|çıkarıyor olacak
hu|Az út végére a villamos áramszedője ... több száz szikrát a vezetékből.|ki fog csiholni|ki fog csiholni|éppen csiholni fog
MEDIA 4607 | meaning: a reddish-brown metal that bends easily
E 38083 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If the copper vessels ... hot, the metal expands.|get|will get|got
de|Wenn die Kupferkessel heiß ..., dehnt sich das Metall aus.|werden|werden werden|wurden
ua|Коли мідні чани ..., метал розширюється.|нагріваються|нагріються|нагрілися
es|Si los tanques de cobre se ..., el metal se dilata.|calientan|calentarán|calentaron
fr|Si les cuves en cuivre ... chaudes, le métal se dilate.|deviennent|deviendront|devenaient
tr|Bakır kazanlar ..., metal genleşir.|ısınırsa|ısınacaksa|ısındıysa
hu|Ha a rézüstök ..., a fém kitágul.|felmelegszenek|fel fognak melegedni|felmelegedtek
E 38090 | B2 type 65 All Present Tenses | style flirt | options 3 | SEL
en|Honestly, you ... under these copper vessels for years, and it shows.|have been working|are working|work
de|Ehrlich, du ... schon seit Jahren unter diesen Kupferkesseln, und das sieht man.|arbeitest|arbeitest|arbeitest
ua|Чесно, ти ... під цими мідними чанами вже роками, і це помітно.|працюєш|працюєш|працюєш
es|Sinceramente, tú ... bajo estos tanques de cobre desde hace años, y se nota.|trabajas|estás trabajando|trabajas
fr|Honnêtement, tu ... sous ces cuves en cuivre depuis des années, et ça se voit.|travailles|travailles|travailles
tr|Açıkçası, sen yıllardır bu bakır kazanların altında ... ve belli oluyor.|çalışıyorsun|çalışıyorsun|çalışırsın
hu|Őszintén, te évek óta ... ezek alatt a rézüstök alatt, és meg is látszik.|dolgozol|dolgozol|dolgozol
MEDIA 4614 | meaning: to be suspended from above
E 39920 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|With streamers hanging from every corner, there ... be a party tonight.|must|can't|should
de|Bei all den Luftschlangen in jeder Ecke ... es heute Abend eine Party geben.|muss|kann nicht|sollte
ua|Коли з кожного кута звисають серпантини, сьогодні ввечері ... бути вечірка.|мусить|не може|мала б
es|Con serpentinas colgando de cada rincón, esta noche ... haber una fiesta.|debe de|no puede|debería
fr|Avec des serpentins qui pendent dans chaque coin, il ... y avoir une fête ce soir.|doit|ne peut pas|devrait
tr|Her köşeden serpantinler sarkarken bu akşam bir parti ...|olmalı|olamaz|olması gerekir
hu|Ha minden sarokból szerpentinek lógnak, ma este ... buli.|biztosan lesz|nem lehet|elvileg lesz
E 39928 | B2 type 52 Future Perfect Continuous | style slang | options 3 | SEL
en|Bro, by midnight he ... lights for like six hours, kinda unhinged.|will have been hanging|will be hanging|has hung
de|Bro, um Mitternacht ... er schon so sechs Stunden Lichter auf, ziemlich durchgeknallt.|hängt|hängt|hängte
ua|Бро, до півночі він ... гірлянди десь шість годин, трохи дичина.|вішатиме|вішатиме|повісив
es|Bro, a medianoche él ... luces unas seis horas, medio desquiciado.|llevará colgando|estará colgando|ha colgado
fr|Frère, à minuit, ça fera genre six heures qu'il ... des guirlandes, un peu barré.|accroche|accroche|a accroché
tr|Kanka, gece yarısına kadar o altı saat gibi ışık ..., biraz kafayı yemiş.|asıyor olacak|asıyor olacak|astı
hu|Tesó, éjfélre ő már vagy hat órája ... a fényeket, kicsit elborult.|aggatja|aggatja|aggatta
MEDIA 4616 | meaning: a large area densely covered with trees
E 44826 | B2 type 52 Future Perfect Continuous | style chill | options 3 | SEL
en|By next spring, the stag ... in this wood for five years.|will have been living|will be living|will live
de|Nächsten Frühling ... der Hirsch schon fünf Jahre in diesem Wald.|lebt|lebt|lebt
ua|Наступної весни олень ... в цьому лісі вже п'ять років.|житиме|житиме|житиме
es|Para la próxima primavera, el ciervo ... cinco años en este bosque.|llevará viviendo|estará viviendo|vivirá
fr|Au printemps prochain, cela fera cinq ans que le cerf ... dans ce bois.|vit|vit|vivra
tr|Gelecek bahara kadar geyik beş yıldır bu ormanda ...|yaşıyor olacak|yaşıyor olacak|yaşayacak
hu|Jövő tavaszra a szarvas már öt éve ... ebben az erdőben.|él|él|fog élni
