MEDIA 5029 | meaning: a motion of the hands or body to show a feeling
E 39783 | B2 type 58 Inversion basic | style chill | options 3 | SEL
en|She ... her hair into a neat bun every morning before work.|twists|is twisted|twisting
de|Sie ... ihre Haare jeden Morgen vor der Arbeit zu einem ordentlichen Dutt.|dreht|ist gedreht|drehend
ua|Вона ... волосся в акуратну гульку щоранку перед роботою.|скручує|скручена|скручування
es|Ella se ... el pelo en un moño perfecto cada mañana antes del trabajo.|recoge|es recogida|recogiendo
fr|Elle ... ses cheveux en un chignon net chaque matin avant le travail.|attache|est attachée|attachant
tr|O her sabah işten önce saçını düzgün bir topuz ...|yapar|yapılır|yapma
hu|Ő minden reggel munka előtt takaros kontyba ... a haját.|csavarja|csavarva van|csavarás
E 37419 | B2 type 67 All Future Tenses | style dramatic | options 3 | SEL
en|By midnight she ... the whole book, and her bun will survive absolutely everything!|will have finished|will finish|finishes
de|Bis Mitternacht ... sie das ganze Buch durchgelesen haben, und ihr Dutt überlebt absolut alles!|wird|wird|liest
ua|До півночі вона ... всю книжку, а її гулька переживе абсолютно все!|дочитає|дочитає|дочитує
es|¡Para la medianoche ella ... todo el libro, y su moño sobrevivirá a absolutamente todo!|habrá terminado|terminará|termina
fr|D'ici minuit, elle ... tout le livre, et son chignon survivra à absolument tout !|aura fini|finira|finit
tr|Gece yarısına kadar o bütün kitabı ... ve topuzu kesinlikle her şeye dayanacak!|bitirmiş olacak|bitirecek|bitiriyor
hu|Éjfélre ő ... az egész könyvet, és a konty abszolút mindent túlél!|kiolvassa|ki fogja olvasni|olvassa ki
MEDIA 5197 | meaning: to take part in a rebellion
E 42134 | B1 type 49 So, Neither, Nor | style ironic | options 3 | SEL
en|One woman rebelled on her desk, and of course ...|so did everyone else.|so was everyone else.|so does everyone else.
de|Eine Frau rebellierte auf ihrem Schreibtisch, und natürlich ...|alle anderen auch.|alle anderen auch.|alle anderen auch.
ua|Одна жінка збунтувалася на своєму столі, і, звісно, ...|усі інші теж.|усі інші теж.|усі інші теж.
es|Una mujer se rebeló sobre su mesa y, por supuesto, ...|todos los demás también.|todos los demás también.|todos los demás también.
fr|Une femme s'est rebellée sur son bureau, et bien sûr ...|tous les autres aussi.|tous les autres aussi.|tous les autres aussi.
tr|Bir kadın masasının üstünde isyan etti ve tabii ki ...|herkes de etti.|herkes de öyleydi.|herkes de ediyor.
hu|Egy nő fellázadt az asztalán, és persze ...|mindenki más is.|mindenki más is.|mindenki más is.
E 42142 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|The workers ... rebelled much earlier; the rules had been unfair for years.|should have|must have|couldn't
de|Die Mitarbeiter ... viel früher rebellieren sollen; die Regeln waren seit Jahren unfair.|hätten|müssen|konnten nicht
ua|Працівники ... збунтуватися набагато раніше; правила були несправедливими роками.|мали б|мабуть мусили|не могли
es|Los trabajadores ... rebelado mucho antes; las normas llevaban años siendo injustas.|deberían haberse|deben de haberse|no pudieron haberse
fr|Les employés ... se rebeller beaucoup plus tôt ; les règles étaient injustes depuis des années.|auraient dû|ont dû|n'ont pas pu
tr|Çalışanlar çok daha önce ...; kurallar yıllardır adaletsizdi.|isyan etmeliydi|isyan etmiş olmalı|isyan edemedi
hu|A dolgozóknak sokkal korábban ... fellázadniuk; a szabályok évek óta igazságtalanok voltak.|kellett volna|biztos kellett|nem lehetett
MEDIA 5198 | meaning: paper you write or print on
E 42862 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The doctor ... sheets of paper like this one to patients all morning.|has been handing|is handing|hands
de|Die Ärztin ... den ganzen Vormittag Zettel wie diesen an Patienten aus.|teilt|teilt|teilt
ua|Лікарка ... пацієнтам аркуші паперу, як цей, увесь ранок.|роздає|роздає|роздає
es|La doctora ... hojas como esta a los pacientes toda la mañana.|lleva dando|está dando|da
fr|La médecin ... des feuilles comme celle-ci aux patients toute la matinée.|distribue|distribue|distribue
tr|Doktor bütün sabah hastalara bunun gibi kâğıtlar ...|veriyor|veriyor|verir
hu|Az orvos egész délelőtt ... a betegeknek az ehhez hasonló papírlapokat.|adja|adja|adja
MEDIA 5199 | meaning: to act in the way rules tell you
E 39493 | B1 type 33 Past Simple or Continuos | style flirt | options 3 | SEL
en|You ... the recipe line by line when the camera caught you smiling. Kind of iconic.|were following|followed|have followed
de|Du ... gerade Zeile für Zeile dem Rezept, als die Kamera dich lächelnd erwischt hat. Irgendwie ikonisch.|folgtest|folgtest|bist gefolgt
ua|Ти ... рецепту рядок за рядком, коли камера впіймала твою усмішку. Доволі культово.|дотримувалася|дотрималася|дотрималася
es|Tú ... la receta línea por línea cuando la cámara te pilló sonriendo. Bastante icónico.|estabas siguiendo|seguiste|has seguido
fr|Tu ... la recette ligne par ligne quand la caméra t'a surprise en train de sourire. Plutôt iconique.|suivais|as suivi|as suivi
tr|Kamera seni gülümserken yakaladığında sen tarifi satır satır ...; epey ikonik.|takip ediyordun|takip ettin|takip ettin
hu|Te sorról sorra ... a receptet, amikor a kamera elkapott mosolyogva. Elég ikonikus.|követted|követted|követted
E 39501 | B2 type 67 All Future Tenses | style business | options 3 | SEL
en|By the deadline, she ... all 8 steps of the handwritten recipe.|will have followed|will follow|follows
de|Bis zur Deadline wird sie alle 8 Schritte des handgeschriebenen Rezepts ...|befolgt haben|befolgen|befolgt
ua|До дедлайну вона ... всіх 8 кроків рукописного рецепта.|дотримається|дотримуватиметься|дотримується
es|Para la fecha límite, ella ... los 8 pasos de la receta escrita a mano.|habrá seguido|seguirá|sigue
fr|D'ici la deadline, elle ... les 8 étapes de la recette écrite à la main.|aura suivi|suivra|suit
tr|Son tarihe kadar o el yazısı tarifin 8 adımının hepsini ...|uygulamış olacak|uygulayacak|uyguluyor
hu|A határidőre ő ... a kézzel írt recept mind a 8 lépését.|követi|követni fogja|követi
MEDIA 5203 | meaning: a person related by blood or marriage
E 42202 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While one relative ... the cake through the door, the others came up the path.|was carrying|carried|has carried
de|Während ein Verwandter die Torte durch die Tür ..., kamen die anderen den Weg herauf.|trug|trug|hat getragen
ua|Поки один родич ... торт у двері, інші підходили доріжкою.|ніс|приніс|приніс
es|Mientras un familiar ... la tarta por la puerta, los demás subían por el camino.|llevaba|llevó|ha llevado
fr|Pendant qu'un proche ... le gâteau par la porte, les autres remontaient l'allée.|portait|a porté|a porté
tr|Bir akraba pastayı kapıdan içeri ..., diğerleri yoldan geliyordu.|taşırken|taşıdığında|taşımışken
hu|Miközben az egyik rokon ... a tortát az ajtón, a többiek feljöttek az úton.|vitte be|bevitte|bevitte
E 42211 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Bro, by the time the cake came in, every relative ... already hugged twice, fr.|had|has|was
de|Bro, als die Torte reinkam, ... jeder Verwandte schon zweimal umarmt, echt.|hatte|hat|war
ua|Бро, поки занесли торт, кожен родич ... вже двічі обійнявся, чесно.|||був
es|Bro, para cuando llegó la tarta, cada familiar ya ... abrazado dos veces, en serio.|había|ha|estaba
fr|Frérot, quand le gâteau est arrivé, chaque proche ... déjà fait deux câlins, sérieux.|avait|a|était
tr|Kanka, pasta geldiğinde her akraba çoktan iki kez ... sarılmıştı, cidden.|||
hu|Tesó, mire bejött a torta, minden rokon ... már kétszer ölelkezett, komolyan.|||volt
MEDIA 5205 | meaning: a serious promise to tell the truth
E 41265 | B1 type 34 Present Perfect Simple or Continuos | style dramatic | options 3 | SEL
en|She ... the oath, and everything in this country will change forever!|has taken|has been taking|takes
de|Sie ... den Eid abgelegt, und alles in diesem Land wird sich für immer ändern!|hat|hat|legt
ua|Вона ... присягу, і все в цій країні назавжди зміниться!|склала|складала|складає
es|¡Ella ... el juramento, y todo en este país cambiará para siempre!|ha prestado|ha estado prestando|presta
fr|Elle ... serment, et tout dans ce pays va changer pour toujours !|a prêté|est en train de prêter|prête
tr|O yemin ... ve bu ülkede her şey sonsuza dek değişecek!|etti|ediyordu|eder
hu|Ő ... az esküt, és ebben az országban minden örökre megváltozik!|letette|tette|leteszi
E 41271 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|At the moment she ... the oath with her hand on the open book.|is taking|takes|has taken
de|Im Moment ... sie den Eid mit der Hand auf dem offenen Buch ab.|legt|legt|hat
ua|Зараз вона ... присягу, поклавши руку на розгорнуту книгу.|складає|складає|склала
es|En este momento ella ... el juramento con la mano sobre el libro abierto.|está prestando|presta|ha prestado
fr|En ce moment, elle ... serment, la main sur le livre ouvert.|prête|prête|a prêté
tr|Şu anda o elini açık kitabın üzerine koymuş yemin ...|ediyor|eder|etti
hu|Épp most ő ... az esküt, kezét a nyitott könyvön tartva.|teszi le|teszi le|letette
MEDIA 5207 | meaning: the salty fluid your skin lets out when hot
E 43859 | B1 type 35 Past Perfect Simple | style gossip | options 3 | SEL
en|Girl, he told me the sweat ... into his eyes by the time they reached the top.|had run|has run|runs
de|Girl, er hat mir erzählt, dass ihm der Schweiß schon in die Augen ..., als sie oben ankamen.|gelaufen war|gelaufen ist|läuft
ua|Подруго, він мені сказав, що коли вони дісталися вершини, піт уже ... йому в очі.|стік|стік|стікає
es|Tía, él me dijo que el sudor ya le ... en los ojos cuando llegaron a la cima.|había entrado|ha entrado|entra
fr|Meuf, il m'a dit que la sueur lui ... dans les yeux quand ils sont arrivés en haut.|avait coulé|a coulé|coule
tr|Kızım, o bana zirveye vardıklarında terin gözlerine çoktan ... söyledi.|aktığını|aktığını|aktığını
hu|Csajszi, ő azt mondta nekem, hogy mire felértek a csúcsra, a veríték már ... a szemébe.|befolyt|befolyt|folyik
MEDIA 5208 | meaning: a style of preparing food, or that food
E 38369 | B1 type 36 Future Continuous | style gossip | options 3 | SEL
en|Girl, he told me this time next week he ... Moroccan cuisine in Marrakesh.|will be tasting|will taste|tastes
de|Girl, er hat mir erzählt, dass er nächste Woche um diese Zeit in Marrakesch marokkanische Küche ...|probieren wird|probieren wird|probiert
ua|Подруго, він мені сказав, що наступного тижня в цей час ... марокканську кухню в Марракеші.|куштуватиме|скуштує|куштує
es|Tía, él me dijo que la semana que viene a esta hora ... cocina marroquí en Marrakech.|estará probando|probará|prueba
fr|Meuf, il m'a dit que la semaine prochaine à cette heure-ci, il ... la cuisine marocaine à Marrakech.|sera en train de goûter|goûtera|goûte
tr|Kızım, o bana gelecek hafta bu saatlerde Marakeş'te Fas mutfağını ... söyledi.|tadıyor olacağını|tadacağını|tattığını
hu|Csajszi, ő azt mondta nekem, hogy jövő héten ilyenkor a marokkói konyhát ... Marrákesben.|fogja kóstolni|megkóstolja|kóstolja
E 38379 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Girl, I heard that by the time he reached the rooftop, he ... three cuisines in one day.|had tried|has tried|was trying
de|Girl, ich hab gehört, dass er, als er die Dachterrasse erreichte, schon drei Küchen an einem Tag ...|probiert hatte|probiert hat|probierte
ua|Подруго, я чула, що поки він дістався даху, він уже ... три кухні за один день.|скуштував|скуштував|куштував
es|Tía, yo oí que para cuando llegó a la azotea, ya ... tres cocinas en un día.|había probado|ha probado|estaba probando
fr|Meuf, j'ai entendu que quand il est arrivé sur le toit, il ... trois cuisines en une journée.|avait goûté|a goûté|goûtait
tr|Kızım, ben duydum ki terasa vardığında bir günde üç mutfak ...|denemişti|denedi|deniyordu
hu|Csajszi, én úgy hallottam, hogy mire felért a tetőteraszra, már három konyhát ... egy nap alatt.|kipróbált|kipróbált|próbált
