MEDIA 5374 | meaning: not deep, lacking much depth
E 42823 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
hu|Ő ... a raklapot fóliába, mielőtt a raktárba húzta.|becsomagolta|becsomagolta|csomagolta
MEDIA 5503 | meaning: the way the body and limbs are arranged
E 41768 | B1 type 38 0 Conditional | style flirt | options 3 | SEL
en|If you ... a position that confidently, people always notice. Respect.|hold|will hold|held
de|Wenn du eine Position so selbstbewusst ..., fällt das den Leuten immer auf. Respekt.|hältst|halten wirst|hieltest
ua|Коли ти ... позу так упевнено, люди завжди це помічають. Респект.|тримаєш|триматимеш|тримала
es|Si tú ... una postura con tanta seguridad, la gente siempre lo nota. Respeto.|mantienes|mantendrás|mantuviste
fr|Si tu ... une position avec autant d'assurance, les gens le remarquent toujours. Respect.|tiens|tiendras|tenais
tr|Sen bir pozisyonu o kadar kendinden emin ..., insanlar hep fark eder. Saygı.|tutarsan|tutacaksan|tuttuysan
hu|Ha te ilyen magabiztosan ... egy pozíciót, az emberek mindig észreveszik. Respekt.|tartasz|fogsz tartani|tartottál
MEDIA 5504 | meaning: to cause something to be taken to another place
E 42759 | B1 type 38 0 Conditional | style flirt | options 3 | SEL
en|If you send a handwritten letter, people ... it forever, honestly.|keep|will keep|kept
de|Wenn du einen handgeschriebenen Brief schickst, ... die Leute ihn für immer, ehrlich.|behalten|behalten|behielten
ua|Якщо ти надсилаєш рукописний лист, люди ... його назавжди, чесно.|зберігають|збережуть|зберегли
es|Si tú mandas una carta escrita a mano, la gente la ... para siempre, sinceramente.|guarda|guardará|guardó
fr|Si tu envoies une lettre écrite à la main, les gens la ... pour toujours, franchement.|gardent|garderont|ont gardée
tr|Sen el yazısıyla bir mektup gönderirsen insanlar onu sonsuza dek ..., açıkçası.|saklar|saklayacak|sakladı
hu|Ha te kézzel írt levelet küldesz, az emberek örökre ..., őszintén.|megtartják|meg fogják tartani|megtartották
MEDIA 5505 | meaning: photographic material you take pictures on
E 39235 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|The medic said the film ... sent from the lab an hour before.|had been|has been|is
de|Die Medizinerin sagte, dass der Film eine Stunde vorher aus dem Labor geschickt worden ...|war|ist|wird
ua|Медикиня сказала, що плівку ... з лабораторії за годину до того.|надіслали|надіслали|надсилають
es|La médica dijo que la placa ... enviada desde el laboratorio una hora antes.|había sido|ha sido|es
fr|La médecin a dit que le film ... envoyé du labo une heure avant.|avait été|a été|est
tr|Sağlıkçı, filmin bir saat önce laboratuvardan ... söyledi.|gönderilmiş olduğunu|gönderildiğini|gönderildiğini
hu|Az orvos azt mondta, hogy a filmet egy órával korábban ... a laborból.|küldték|küldték|küldik
