MEDIA 4817 | meaning: a long time with a shortage of rain
E 38824 | B2 type 64 Future in past | style chill | options 3 | SEL
en|She ... the ice cream cone for a minute when the pigeons flew up.|had been holding|has been holding|holds
de|Sie ... die Eiswaffel schon eine Minute in der Hand, als die Tauben aufflogen.|hielt|hält|hält
ua|Вона ... ріжок із морозивом уже хвилину, коли голуби злетіли.|тримала|тримає|тримає
es|Ella ... el cucurucho de helado durante un minuto cuando las palomas echaron a volar.|llevaba sosteniendo|ha estado sosteniendo|sostiene
fr|Elle ... le cornet de glace depuis une minute quand les pigeons se sont envolés.|tenait|tient|tient
tr|Güvercinler havalandığında o bir dakikadır dondurma külahını ...|tutuyordu|tutuyor|tutar
hu|Ő már egy perce ... a fagyitölcsért, amikor a galambok felröppentek.|tartotta|tartja|tartja
MEDIA 4997 | meaning: the sound of laughing
E 40474 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|He ... have a quiet laugh before he started travelling.|used to|would|was used to
de|Er ... ein leises Lachen, bevor er anfing zu reisen.|hatte früher|hatte|war gewohnt, zu haben
ua|Він ... тихий сміх, перш ніж почав подорожувати.|раніше мав|мав|звик мати
es|Él ... una risa tranquila antes de empezar a viajar.|solía tener|tenía|estaba acostumbrado a tener
fr|Il ... un rire discret avant de commencer à voyager.|avait|avait|avait l'habitude d'avoir
tr|O seyahat etmeye başlamadan önce sessiz bir gülüşü ...|vardı|vardı|olmaya alışkındı
hu|Neki ... egy halk nevetése, mielőtt elkezdett utazni.|régen volt|volt|hozzá volt szokva, hogy legyen
MEDIA 4998 | meaning: a passage that goes through or under something
E 44338 | B1 type 32 Present Perfect Continuous | style ironic | options 3 | SEL
en|He ... through this tunnel of gates for ten minutes. Clearly a short little walk.|has been walking|is walking|walks
de|Er ... seit zehn Minuten durch diesen Tunnel aus Gates. Klar, ein kurzer kleiner Spaziergang.|läuft|läuft|läuft
ua|Він ... цим тунелем із гейтів уже десять хвилин. Явно коротенька прогулянка.|іде|іде|ходить
es|Él ... por este túnel de puertas desde hace diez minutos. Claramente un paseíto corto.|ha estado caminando|está caminando|camina
fr|Il ... dans ce tunnel de portes depuis dix minutes. Clairement une toute petite balade.|marche|est en train de marcher|marche
tr|O on dakikadır bu kapı tünelinde ...; belli ki kısacık bir yürüyüş.|yürüyor|yürüyor|yürür
hu|Ő tíz perce ... ebben a kapukból álló alagútban. Nyilván rövidke séta.|sétál|sétál|sétál
E 44344 | B2 type 64 Future in past | style chill | options 3 | SEL
en|He knew the tunnel of gates ... at a bright opening.|would end|will end|is ending
de|Er wusste, dass der Tunnel aus Gates an einer hellen Öffnung ...|enden würde|enden wird|endet
ua|Він знав, що тунель із гейтів ... світлим виходом.|закінчиться|закінчиться|закінчується
es|Él sabía que el túnel de puertas ... en una abertura luminosa.|terminaría|terminará|está terminando
fr|Il savait que le tunnel de portes ... sur une ouverture lumineuse.|déboucherait|débouchera|débouche
tr|O, kapı tünelinin aydınlık bir açıklıkta ... biliyordu.|biteceğini|biteceğini|bittiğini
hu|Ő tudta, hogy a kapukból álló alagút egy világos nyílásnál ...|fog véget érni|fog véget érni|ér véget
MEDIA 5002 | meaning: the time when daylight fades just before night
E 38844 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time the last man jumped, dusk ... into night.|had turned|has turned|turns
de|Als der letzte Mann sprang, ... die Dämmerung schon in die Nacht übergegangen.|war|ist|geht
ua|Поки стрибнув останній чоловік, сутінки вже ... ніччю.|змінилися|змінилися|змінюються
es|Para cuando saltó el último hombre, el anochecer ya se ... en noche.|había convertido|ha convertido|convierte
fr|Quand le dernier homme a sauté, le crépuscule ... en nuit.|s'était changé|s'est changé|se change
tr|Son adam atladığında alacakaranlık geceye ...|dönmüştü|döndü|dönüyor
hu|Mire az utolsó férfi beugrott, a szürkület ... éjszakába.|átfordult|átfordult|átfordul
E 38848 | B2 type 61 Relative clauses | style ironic | options 3 | SEL
en|Dusk, ... light is fading fast, is clearly the ideal time to jump into a dark lake.|whose|which|when
de|Die Dämmerung, ... Licht schnell schwindet, ist klar die ideale Zeit, um in einen dunklen See zu springen.|deren|die|wenn
ua|Сутінки, ... світло швидко згасає, — очевидно, ідеальний час, щоб стрибнути в темне озеро.|чиє|які|коли
es|El anochecer, ... luz se apaga rápido, es claramente el momento ideal para saltar a un lago oscuro.|cuya|que|cuando
fr|Le crépuscule, ... la lumière baisse vite, est clairement le moment idéal pour sauter dans un lac sombre.|dont|qui|quand
tr|Işığı ... hızla sönen alacakaranlık, belli ki karanlık bir göle atlamak için ideal zaman.|||
hu|A szürkület, ... fénye gyorsan halványul, nyilván az ideális időpont, hogy beugorjunk egy sötét tóba.|amelynek a|amely|amikor
MEDIA 5003 | meaning: someone who travels into little known places
E 39070 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|The explorer ... through the vines when a macaw flew over his head.|was cutting|cut|has cut
de|Der Entdecker ... sich gerade durch die Lianen, als ein Ara über seinen Kopf flog.|schlug|schlug|hat geschlagen
ua|Дослідник ... крізь ліани, коли над його головою пролетів ара.|прорубувався|прорубався|прорубався
es|El explorador se ... paso entre las lianas cuando un guacamayo pasó volando sobre su cabeza.|abría|abrió|ha abierto
fr|L'explorateur se ... un chemin à travers les lianes quand un ara est passé au-dessus de sa tête.|taillait|tailla|est taillé
tr|Başının üstünden bir ara papağanı uçtuğunda kâşif lianları ...|kesiyordu|kesti|kesmiş
hu|A felfedező épp ... magát a liánokon át, amikor egy ara repült el a feje fölött.|vágta|átvágta|átvágta
MEDIA 5008 | meaning: to open the lock of something with a key
E 44416 | B1 type 37 Future Simple or Continuos | style nerd | options 3 | SEL
en|At this hour tomorrow, the subject ... the same wooden door, as she typically does.|will be unlocking|will unlock|is unlocking
de|Morgen um diese Zeit ... die Person dieselbe Holztür auf, wie sie es typischerweise tut.|schließt|schließt|schließt
ua|Завтра о цій порі суб'єкт ... ті самі дерев'яні двері, як вона зазвичай робить.|відмикатиме|відімкне|відмикає
es|Mañana a esta hora, el sujeto ... la misma puerta de madera, como hace habitualmente.|estará abriendo|abrirá|está abriendo
fr|Demain à cette heure-ci, le sujet ... la même porte en bois, comme elle le fait habituellement.|sera en train de déverrouiller|déverrouillera|déverrouille
tr|Yarın bu saatte denek, genellikle yaptığı gibi aynı ahşap kapının kilidini ...|açıyor olacak|açacak|açıyor
hu|Holnap ilyenkor az alany ... ugyanazt a faajtót, ahogy általában szokta.|nyitja ki|ki fogja nyitni|nyitja ki
E 44425 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|She ... the black door, and then she picked through the ring of keys.|unlocked|had been unlocking|was unlocking
de|Sie ... die schwarze Tür auf und kramte dann im Schlüsselbund.|schloss|schloss|schloss
ua|Вона ... чорні двері, а потім перебирала в'язку ключів.|відімкнула|відмикала|відмикала
es|Ella ... la puerta negra y luego rebuscó en el llavero.|abrió|había estado abriendo|estaba abriendo
fr|Elle ... la porte noire, puis elle a fouillé dans le trousseau de clés.|a déverrouillé|avait déverrouillé|déverrouillait
tr|O siyah kapının kilidini ... ve sonra anahtar destesini karıştırdı.|açtı|açıyordu|açıyordu
hu|Ő ... a fekete ajtót, aztán a kulcscsomóban kotorászott.|kinyitotta|nyitogatta|nyitotta
MEDIA 5015 | meaning: made at home by yourself, not bought
E 40074 | B1 type 48 Question tags | style chill | options 3 | SEL
en|Homemade bread tastes better, ...?|doesn't it?|isn't it?|don't they?
de|Selbstgebackenes Brot schmeckt besser, ...?|oder?|oder?|oder?
ua|Домашній хліб смачніший, ...?|так?|так?|так?
es|El pan casero sabe mejor, ¿...|verdad?|verdad?|verdad?
  ~soft: unbalanced ¿?
fr|Le pain maison a meilleur goût, ...|non ?|non ?|non ?
tr|Ev yapımı ekmeğin tadı daha güzel, ...?|değil mi?|değil mi?|değil mi?
hu|A házi kenyér finomabb, ...?|ugye?|ugye?|ugye?
E 40080 | B2 type 54 Mixed Conditional | style ironic | options 3 | SEL
en|If they hadn't chosen homemade bread, they ... covered in flour now. Clearly tragic.|wouldn't be|wouldn't have been|won't be
de|Hätten sie sich nicht für selbstgebackenes Brot entschieden, ... sie jetzt nicht voller Mehl. Klar tragisch.|wären|wären gewesen|werden
ua|Якби вони не обрали домашній хліб, зараз ... в борошні. Явно трагедія.|не були б|не були б|не будуть
es|Si ellos no hubieran elegido pan casero, ahora ... cubiertos de harina. Claramente trágico.|no estarían|no habrían estado|no estarán
fr|S'ils n'avaient pas choisi le pain maison, ils ... couverts de farine maintenant. Clairement tragique.|ne seraient pas|n'auraient pas été|ne seront pas
tr|Onlar ev yapımı ekmeği seçmeseydi, şimdi una bulanmış ...; belli ki çok trajik.|olmazlardı|olmamış olurlardı|olmayacaklar
hu|Ha ők nem a házi kenyeret választották volna, most nem ... csupa liszt. Nyilván tragikus.|lennének|lettek volna|lesznek
MEDIA 5026 | meaning: very funny, causing wild laughter
E 40019 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|He ... at the same hilarious video for ten minutes.|has been laughing|is laughing|laughs
de|Er ... seit zehn Minuten über dasselbe urkomische Video.|lacht|lacht|lacht
ua|Він ... з того самого кумедного відео вже десять хвилин.|сміється|сміється|сміється
es|Él ... con el mismo vídeo divertidísimo desde hace diez minutos.|ha estado riéndose|se está riendo|se ríe
fr|Il ... de la même vidéo hilarante depuis dix minutes.|rit|est en train de rire|rit
tr|O on dakikadır aynı komik videoya ...|gülüyor|gülüyor|güler
hu|Ő tíz perce ... ugyanazon a vicces videón.|nevet|nevet|nevet
E 40022 | B2 type 60 Wish clauses | style dramatic | options 3 | SEL
en|I wish that hilarious video ... never appeared in the lecture! Total chaos!|had|has|would
de|Ich wünschte, dieses urkomische Video ... nie in der Vorlesung aufgetaucht! Totales Chaos!|wäre|ist|würde
ua|Якби ж те кумедне відео ... ніколи не з'явилося на лекції! Повний хаос!|||
es|¡Ojalá ese vídeo tan gracioso no ... aparecido nunca en la clase! ¡Caos total!|hubiera|ha|habría
fr|Si seulement cette vidéo hilarante ... jamais apparue en cours ! Chaos total !|n'était|n'est|ne serait
tr|Keşke o komik video derste hiç ...! Tam bir kaos!|görünmeseydi|görünmedi|görünmezdi
hu|Bárcsak az a vicces videó soha ... meg az előadáson! Teljes káosz!|nem jelent volna|nem jelent|nem jelenne
MEDIA 5027 | meaning: an official who settles questions in court
E 40344 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|The gavel is down, so the judge ... made her decision.|must have|should have|can't have
de|Der Hammer ist gefallen, also ... die Richterin ihre Entscheidung getroffen haben.|muss|sollte|kann nicht
ua|Молоток опустився, тож суддя ... ухвалити своє рішення.|мусила|мала|не могла
es|El mazo ha caído, así que la jueza ... tomado su decisión.|debe de haber|debería haber|no puede haber
fr|Le marteau est tombé, donc la juge ... prendre sa décision.|a dû|aurait dû|n'a pas pu
tr|Tokmak indi, yani hâkim kararını ...|vermiş olmalı|vermeliydi|vermiş olamaz
hu|A kalapács lecsapott, szóval a bíró ... a döntését.|biztosan meghozta|meg kellett volna hoznia|nem hozhatta meg
