MEDIA 4617 | meaning: to be engaged in a fight
E 39185 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
tr|Gün batımında güneş kubbeye ..., kubbe turuncu parlar.|vurursa|vurduysa|vuracaksa
hu|Ha naplementekor a nap ... a kupolára, az narancssárgán izzik.|süt|sütött|sütni fog
MEDIA 4808 | meaning: hair woven together into one plaited strand
E 37344 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|The stylist finishes ... the braid along the crown.|weaving|to weave|weave
de|Die Stylistin ... den Zopf entlang des Scheitels fertig.|flicht|flicht|flicht
ua|Стилістка закінчує ... косу вздовж маківки.|плести|плести|плести
es|La estilista termina de ... la trenza a lo largo de la coronilla.|hacer|hacer|hacer
fr|La coiffeuse finit de ... la tresse le long du sommet du crâne.|tresser|tresser|tresser
tr|Kuaför tepe boyunca örgüyü ... bitiriyor.|örmeyi|örmeyi|örmeyi
hu|A fodrász befejezi a copf ... a fejtető mentén.|fonását|fonását|fonását
E 37350 | B2 type 53 3. Conditional | style business | options 3 | SEL
en|If the salon had assigned 2 stylists, the braid ... before the deadline.|would have been finished|will be finished|was finished
de|Wenn der Salon 2 Stylistinnen eingeteilt hätte, ... der Zopf vor der Deadline fertig gewesen.|wäre|wird|war
ua|Якби салон призначив 2 стилісток, коса ... до дедлайну.|була б готова|буде готова|була готова
es|Si el salón hubiera asignado 2 estilistas, la trenza ... antes de la fecha límite.|habría estado terminada|estará terminada|estaba terminada
fr|Si le salon avait affecté 2 coiffeuses, la tresse ... avant la deadline.|aurait été terminée|sera terminée|était terminée
tr|Salon 2 kuaför görevlendirseydi, örgü son tarihten önce ...|bitirilmiş olurdu|bitirilecek|bitirildi
hu|Ha a szalon 2 fodrászt osztott volna be, a copf a határidő előtt ...|elkészült volna|el fog készülni|elkészült
MEDIA 4809 | meaning: an enclosed passageway inside a building
E 38120 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While she ... down the corridor, two men squeezed past with a box.|was walking|walked|has walked
de|Während sie durch den Flur ..., drängten sich zwei Männer mit einer Kiste vorbei.|ging|ging|gegangen ist
ua|Поки вона ... коридором, двоє чоловіків протиснулися повз із коробкою.|йшла|пройшла|пройшла
es|Mientras ... por el pasillo, dos hombres pasaron apretujados con una caja.|caminaba|caminó|ha caminado
fr|Pendant qu'elle ... dans le couloir, deux hommes se sont faufilés avec un carton.|marchait|a marché|a marché
tr|O koridorda ..., iki adam bir kutuyla yanından sıkışarak geçti.|yürürken|yürüdüğünde|yürüdü
hu|Miközben ő ... a folyosón, két férfi egy dobozzal elpréselődött mellette.|ment|végigment|végigment
E 38127 | B2 type 64 Future in past | style dramatic | options 3 | SEL
en|She knew that corridor ... a total nightmare on moving day!|would be|will be|is
de|Sie wusste, dass dieser Flur am Umzugstag ein totaler Albtraum ...!|sein würde|sein wird|ist
ua|Вона знала, що цей коридор ... справжнім жахіттям у день переїзду!|буде|буде|є
es|¡Ella sabía que ese pasillo ... una pesadilla total el día de la mudanza!|sería|será|es
fr|Elle savait que ce couloir ... un vrai cauchemar le jour du déménagement !|serait|sera|est
tr|O, o koridorun taşınma günü tam bir kâbus ... biliyordu!|olacağını|olacağını|olduğunu
hu|Ő tudta, hogy az a folyosó a költözés napján totális rémálom ...!|lesz|lesz|
MEDIA 4810 | meaning: a piece of timber fixed upright in the ground
E 41781 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|The short post is wooden, and ... the tall one.|so is|so does|neither is
de|Der kurze Pfahl ist aus Holz, und der hohe ...|auch|auch|auch nicht
ua|Короткий стовпчик дерев'яний, і високий ...|теж|теж|теж ні
es|El poste corto es de madera, y el alto ...|también|también|tampoco
fr|Le poteau court est en bois, et le grand ...|aussi|aussi|non plus
tr|Kısa direk tahta, ve uzun olan ...|da öyle|da öyle|da değil
hu|A rövid oszlop fából van, és a magas ...|is|is|sem
E 41784 | B2 type 56 Reported speech | style flirt | options 3 | SEL
en|You insisted on ... every post yourself, and honestly, that's actually cool.|hammering|to hammer|hammered
de|Du hast darauf bestanden, jeden Pfahl selbst ..., und ehrlich, das ist echt cool.|einzuschlagen|einzuschlagen|eingeschlagen zu haben
ua|Ти наполіг на тому, щоб ... кожен стовпчик сам, і чесно, це реально крутий хід.|забити|забивати|забив
es|Tú insististe en ... cada poste tú mismo, y sinceramente, eso es muy guay.|clavar|clavar|clavaste
fr|Tu as tenu à ... chaque poteau toi-même, et franchement, c'est vraiment cool.|enfoncer|enfoncer|avoir enfoncé
tr|Sen her direği kendin ... ısrar ettin, ve açıkçası bu gerçekten havalı.|çakmakta|çakmakta|çaktın
hu|Te ragaszkodtál hozzá, hogy minden oszlopot magad ..., és őszintén, ez tényleg menő.|verj be|verj be|vertél be
MEDIA 4811 | meaning: someone who is on the same team as you
E 43962 | B1 type 32 Present Perfect Continuous | style business | options 3 | SEL
en|This squad ... together as teammates for 6 months, and the target is the final.|has been training|is training|trains
de|Dieses Team ... seit 6 Monaten zusammen als Teamkollegen, und das Ziel ist das Finale.|trainiert|trainiert|trainiert
ua|Ця команда ... разом як партнери по команді вже 6 місяців, і мета — фінал.|тренується|тренується|тренується
es|Este equipo ... junto como compañeros desde hace 6 meses, y el objetivo es la final.|ha estado entrenando|está entrenando|entrena
fr|Cette équipe ... ensemble en tant que coéquipiers depuis 6 mois, et l'objectif, c'est la finale.|s'entraîne|s'entraîne|s'entraîne
tr|Bu kadro 6 aydır takım arkadaşları olarak birlikte ..., ve hedef final.|antrenman yapıyor|antrenman yapıyor|antrenman yapar
hu|Ez a csapat 6 hónapja ... együtt csapattársakként, és a cél a döntő.|edz|edz|edz
E 43972 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|Of the six players, ... who missed the last ball laughs the loudest.|the teammate|a teammate|teammate
de|Von den sechs Spielern lacht ..., der den letzten Ball verpasst hat, am lautesten.|der Mitspieler|ein Mitspieler|Mitspieler
ua|З шести гравців найгучніше сміється ..., який пропустив останній м'яч.|партнер по команді|партнер по команді|партнер по команді
es|De los seis jugadores, ... que falló el último balón es quien más se ríe.|el compañero|un compañero|compañero
fr|Des six joueurs, ... qui a raté le dernier ballon rit le plus fort.|le coéquipier|un coéquipier|coéquipier
tr|Altı oyuncudan son topu kaçıran ... en yüksek sesle gülüyor.|takım arkadaşı|bir takım arkadaşı|takım arkadaşı
hu|A hat játékos közül ..., aki elrontotta az utolsó labdát, nevet a leghangosabban.|a csapattárs|egy csapattárs|csapattárs
MEDIA 4812 | meaning: arranged neatly and in order
E 44079 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|His shirts are tidy, and ...|so is his wardrobe.|so does his wardrobe.|so are his wardrobe.
de|Seine Hemden sind ordentlich, und ...|sein Kleiderschrank auch.|sein Kleiderschrank auch.|sein Kleiderschrank auch.
ua|Його сорочки охайні, і ...|його шафа теж.|його шафа теж.|його шафа теж.
es|Sus camisas están ordenadas, y ...|su armario también.|su armario también.|su armario también.
fr|Ses chemises sont bien rangées, et ...|son armoire aussi.|son armoire aussi.|son armoire aussi.
tr|Gömlekleri düzenli, ve ...|dolabı da öyle.|dolabı da öyle.|dolabı da öyle.
hu|Az ingjei rendezettek, és ...|a szekrénye is.|a szekrénye is.|a szekrénye is.
E 44081 | B2 type 65 All Present Tenses | style business | options 3 | SEL
en|Status update: the wardrobe ... tidy for 3 weeks in a row.|has stayed|stays|is staying
de|Status-Update: Der Kleiderschrank ... seit 3 Wochen am Stück ordentlich.|ist|bleibt|bleibt
ua|Оновлення статусу: шафа ... охайною 3 тижні поспіль.|залишається|залишається|залишається
es|Actualización de estado: el armario ... ordenado 3 semanas seguidas.|ha seguido|sigue|está siguiendo
fr|Point d'étape : l'armoire ... rangée depuis 3 semaines d'affilée.|reste|reste|reste
tr|Durum güncellemesi: dolap 3 haftadır üst üste düzenli ...|kaldı|kalıyor|kalıyor
hu|Státuszfrissítés: a szekrény 3 hete egyfolytában rendezett ...|maradt|marad|marad
MEDIA 4813 | meaning: a sheltered place on the coast for boats
E 39934 | B1 type 34 Present Perfect Simple or Continuos | style ironic | options 3 | SEL
en|He ... on that bollard for an hour now, a real harbour professional.|has been leaning|has leaned|is leaning
de|Er ... sich schon seit einer Stunde an diesen Poller, ein echter Hafenprofi.|lehnt|lehnt|lehnt
ua|Він ... на той кнехт уже годину, справжній портовий професіонал.|спирається|спирається|спирається
es|Él ... apoyado en ese bolardo desde hace una hora, todo un profesional del puerto.|ha estado|ha estado|está
fr|Il ... contre cette borne depuis une heure, un vrai pro du port.|s'appuie|s'appuie|s'appuie
tr|O bir saattir o babaya ..., gerçek bir liman profesyoneli.|yaslanıyor|yaslanıyor|yaslanıyor
hu|Ő már egy órája ... annak a kikötőbaknak, igazi kikötői profi.|támaszkodik|támaszkodik|támaszkodik
E 39940 | B2 type 63 Advanced linkers | style nerd | options 3 | SEL
en|... its small size, the harbour typically handles large container ships.|Despite|Although|Owing to
de|... seiner geringen Größe fertigt der Hafen typischerweise große Containerschiffe ab.|Trotz|Obwohl|Aufgrund
ua|... свій невеликий розмір, гавань зазвичай обслуговує великі контейнеровози.|Попри|Хоча|Завдяки
es|... su pequeño tamaño, el puerto suele recibir grandes buques portacontenedores.|A pesar de|Aunque|Debido a
fr|... sa petite taille, le port accueille généralement de grands porte-conteneurs.|Malgré|Bien que|En raison de
tr|Küçük boyutuna ... liman genellikle büyük konteyner gemilerini ağırlıyor.|rağmen|gerçi|sayesinde
hu|Kis mérete ... a kikötő jellemzően nagy konténerhajókat fogad.|ellenére|bár|miatt
MEDIA 4815 | meaning: to move your hand over something with pressure
E 42505 | B1 type 33 Past Simple or Continuos | style flirt | options 3 | SEL
en|You ... the stress away when the boss walked past, so smooth.|were rubbing|rubbed|have rubbed
de|Du ... dir gerade den Stress weg, als der Chef vorbeiging, so smooth.|riebst|riebst|hast gerieben
ua|Ти якраз ... стрес, коли повз проходив бос, так плавно.|розтирала|розтерла|розтерла
es|Tú te ... el estrés cuando pasó el jefe, qué estilo.|estabas frotando|frotaste|has frotado
fr|Tu ... ton stress quand le boss est passé, trop smooth.|massais|as massé|as massé
tr|Patron yanından geçtiğinde sen stresini ovarak ..., çok şık.|atıyordun|attın|attın
hu|Te épp ... magadról a stresszt, amikor a főnök elment melletted, olyan laza.|masszíroztad le|lemasszíroztad|lemasszíroztad
E 42509 | B2 type 59 Causative HAVE/GET | style dramatic | options 3 | SEL
en|This headache is a nightmare! She needs to get someone ... her shoulders!|to rub|rub|rubbing
de|Diese Kopfschmerzen sind ein Albtraum! Sie muss jemanden finden, der ihr die Schultern ...!|massiert|massiert|massiert
ua|Цей головний біль — жах! Вона мусить знайти когось, хто ... їй плечі!|розімне|розімне|розминання
es|¡Este dolor de cabeza es una pesadilla! ¡Ella necesita que alguien le ... los hombros!|frote|frote|frotando
fr|Ce mal de tête est un cauchemar ! Elle doit trouver quelqu'un pour lui ... les épaules !|masser|masser|masser
tr|Bu baş ağrısı bir kâbus! O, omuzlarını ... birini bulmalı!|ovacak|ovacak|ovma
hu|Ez a fejfájás egy rémálom! Ő kell, hogy találjon valakit, aki ... a vállát!|megmasszírozza|megmasszírozza|masszírozás
